,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
130,130,5,8,70,25,Sunday,12,1.400
131,131,5,12,60,21,Sunday,12,1.429
132,132,6,7,100,34,Sunday,12,1.471
133,133,7,9,50,26,Sunday,12,0.962
134,134,8,9,130,56,Sunday,12,1.161
135,135,9,11,140,42,Sunday,12,1.667
136,136,9,13,90,38,Sunday,12,1.184
137,137,10,11,120,50,Sunday,12,1.200
138,138,10,13,130,48,Sunday,12,1.354
139,139,11,12,50,20,Sunday,12,1.250
140,140,0,1,70,39,Sunday,14,0.897
141,141,0,2,120,68,Sunday,14,0.882
142,142,0,3,50,23,Sunday,14,1.087
143,143,1,2,60,25,Sunday,14,1.200
144,144,1,7,130,45,Sunday,14,1.444
145,145,2,5,80,45,Sunday,14,0.889
146,146,3,4,60,22,Sunday,14,1.364
147,147,3,10,140,77,Sunday,14,0.909
148,148,4,5,50,28,Sunday,14,0.893
149,149,4,6,90,34,Sunday,14,1.324
150,150,5,8,50,20,Sunday,14,1.250
151,151,5,12,90,32,Sunday,14,1.406
152,152,6,7,60,30,Sunday,14,1.000
153,153,7,9,130,69,Sunday,14,0.942
154,154,8,9,120,37,Sunday,14,1.622
155,155,9,11,100,43,Sunday,14,1.163
156,156,9,13,140,50,Sunday,14,1.400
157,157,10,11,80,47,Sunday,14,0.851
158,158,10,13,80,41,Sunday,14,0.976
159,159,11,12,100,33,Sunday,14,1.515
160,160,0,1,120,55,Sunday,16,1.091
161,161,0,2,100,47,Sunday,16,1.064
162,162,0,3,90,41,Sunday,16,1.098
163,163,1,2,60,35,Sunday,16,0.857
164,164,1,7,90,43,Sunday,16,1.047
165,165,2,5,80,32,Sunday,16,1.250
166,166,3,4,50,20,Sunday,16,1.250
167,167,3,10,80,28,Sunday,16,1.429
168,168,4,5,120,47,Sunday,16,1.277
169,169,4,6,70,39,Sunday,16,0.897
170,170,5,8,80,39,Sunday,16,1.026
171,171,5,12,130,40,Sunday,16,1.625
172,172,6,7,100,56,Sunday,16,0.893
173,173,7,9,60,26,Sunday,16,1.154
174,174,8,9,120,59,Sunday,16,1.017
175,175,9,11,120,52,Sunday,16,1.154
176,176,9,13,80,40,Sunday,16,1.000
177,177,10,11,80,32,Sunday,16,1.250
178,178,10,13,80,32,Sunday,16,1.250
179,179,11,12,50,21,Sunday,16,1.190
180,180,0,1,50,18,Sunday,18,1.389
181,181,0,2,70,37,Sunday,18,0.946
182,182,0,3,80,36,Sunday,18,1.111
183,183,1,2,110,43,Sunday,18,1.279
184,184,1,7,90,47,Sunday,18,0.957
185,185,2,5,90,50,Sunday,18,0.900
186,186,3,4,90,37,Sunday,18,1.216
187,187,3,10,110,54,Sunday,18,1.019
188,188,4,5,100,39,Sunday,18,1.282
189,189,4,6,90,29,Sunday,18,1.552
190,190,5,8,60,24,Sunday,18,1.250
191,191,5,12,90,46,Sunday,18,0.978
192,192,6,7,50,22,Sunday,18,1.136
193,193,7,9,110,48,Sunday,18,1.146
194,194,8,9,100,37,Sunday,18,1.351
195,195,9,11,100,49,Sunday,18,1.020
196,196,9,13,130,68,Sunday,18,0.956
197,197,10,11,120,56,Sunday,18,1.071
198,198,10,13,130,57,Sunday,18,1.140
199,199,11,12,50,18,Sunday,18,1.389
200,200,0,1,120,32,Sunday,20,1.875
201,201,0,2,80,13,Sunday,20,3.077
202,202,0,3,100,34,Sunday,20,1.471
203,203,1,2,130,36,Sunday,20,1.806
204,204,1,7,60,20,Sunday,20,1.500
205,205,2,5,70,23,Sunday,20,1.522
206,206,3,4,140,36,Sunday,20,1.944
207,207,3,10,80,31,Sunday,20,1.290
208,208,4,5,50,8,Sunday,20,3.125
209,209,4,6,60,13,Sunday,20,2.308
210,210,5,8,110,15,Sunday,20,3.667
211,211,5,12,100,17,Sunday,20,2.941
212,212,6,7,130,49,Sunday,20,1.327
213,213,7,9,120,34,Sunday,20,1.765
214,214,8,9,80,31,Sunday,20,1.290
215,215,9,11,110,15,Sunday,20,3.667
216,216,9,13,130,16,Sunday,20,4.062
217,217,10,11,110,14,Sunday,20,3.929
218,218,10,13,80,8,Sunday,20,5.000
219,219,11,12,80,21,Sunday,20,1.905
220,220,0,1,140,43,Sunday,22,1.628
221,221,0,2,60,18,Sunday,22,1.667
222,222,0,3,90,17,Sunday,22,2.647
223,223,1,2,130,27,Sunday,22,2.407
224,224,1,7,70,12,Sunday,22,2.917
225,225,2,5,90,19,Sunday,22,2.368
226,226,3,4,70,12,Sunday,22,2.917
227,227,3,10,110,18,Sunday,22,3.056
228,228,4,5,50,16,Sunday,22,1.562
229,229,4,6,60,17,Sunday,22,1.765
230,230,5,8,60,15,Sunday,22,2.000
231,231,5,12,90,33,Sunday,22,1.364
232,232,6,7,50,11,Sunday,22,2.273
233,233,7,9,80,13,Sunday,22,3.077
234,234,8,9,130,33,Sunday,22,1.970
235,235,9,11,140,46,Sunday,22,1.522
236,236,9,13,50,15,Sunday,22,1.667
237,237,10,11,110,20,Sunday,22,2.750
238,238,10,13,60,12,Sunday,22,2.500
239,239,11,12,100,27,Sunday,22,1.852
240,240,0,1,70,15,Sunday,24,2.333
241,241,0,2,70,9,Sunday,24,3.889
242,242,0,3,130,23,Sunday,24,2.826
243,243,1,2,100,12,Sunday,24,4.167
244,244,1,7,60,22,Sunday,24,1.364
245,245,2,5,70,14,Sunday,24,2.500
246,246,3,4,100,14,Sunday,24,3.571
247,247,3,10,70,18,Sunday,24,1.944
248,248,4,5,80,26,Sunday,24,1.538
249,249,4,6,140,42,Sunday,24,1.667
250,250,5,8,70,8,Sunday,24,4.375
251,251,5,12,60,18,Sunday,24,1.667
252,252,6,7,90,25,Sunday,24,1.800
253,253,7,9,50,8,Sunday,24,3.125
254,254,8,9,70,22,Sunday,24,1.591
255,255,9,11,120,13,Sunday,24,4.615
256,256,9,13,110,41,Sunday,24,1.341
257,257,10,11,130,41,Sunday,24,1.585
258,258,10,13,130,15,Sunday,24,4.333
259,259,11,12,90,22,Sunday,24,2.045
260,260,0,1,100,72,Monday,0,0.694
261,261,0,2,140,90,Monday,0,0.778
262,262,0,3,60,32,Monday,0,0.938
263,263,1,2,50,26,Monday,0,0.962
264,264,1,7,50,29,Monday,0,0.862
265,265,2,5,100,55,Monday,0,0.909
266,266,3,4,90,67,Monday,0,0.672
267,267,3,10,120,80,Monday,0,0.750
268,268,4,5,80,44,Monday,0,0.909
269,269,4,6,80,59,Monday,0,0.678
270,270,5,8,120,91,Monday,0,0.659
271,271,5,12,50,28,Monday,0,0.893
272,272,6,7,110,84,Monday,0,0.655
273,273,7,9,140,111,Monday,0,0.631
274,274,8,9,110,59,Monday,0,0.932
275,275,9,11,80,45,Monday,0,0.889
276,276,9,13,90,54,Monday,0,0.833
277,277,10,11,120,72,Monday,0,0.833
278,278,10,13,100,77,Monday,0,0.649
279,279,11,12,140,104,Monday,0,0.673
280,280,0,1,90,71,Monday,2,0.634
281,281,0,2,70,49,Monday,2,0.714
282,282,0,3,50,27,Monday,2,0.926
283,283,1,2,120,67,Monday,2,0.896
284,284,1,7,60,47,Monday,2,0.638
285,285,2,5,50,26,Monday,2,0.962
286,286,3,4,140,103,Monday,2,0.680
287,287,3,10,60,41,Monday,2,0.732
288,288,4,5,90,48,Monday,2,0.938
289,289,4,6,140,79,Monday,2,0.886
290,290,5,8,50,31,Monday,2,0.806
291,291,5,12,100,76,Monday,2,0.658
292,292,6,7,110,84,Monday,2,0.655
293,293,7,9,100,77,Monday,2,0.649
294,294,8,9,80,40,Monday,2,1.000
295,295,9,11,90,68,Monday,2,0.662
296,296,9,13,120,70,Monday,2,0.857
297,297,10,11,110,63,Monday,2,0.873
298,298,10,13,120,72,Monday,2,0.833
299,299,11,12,60,33,Monday,2,0.909
300,300,0,1,90,47,Monday,4,0.957
301,301,0,2,130,99,Monday,4,0.657
302,302,0,3,120,95,Monday,4,0.632
303,303,1,2,80,45,Monday,4,0.889
304,304,1,7,120,94,Monday,4,0.638
305,305,2,5,100,78,Monday,4,0.641
306,306,3,4,100,78,Monday,4,0.641
307,307,3,10,80,58,Monday,4,0.690
308,308,4,5,50,30,Monday,4,0.833
309,309,4,6,100,55,Monday,4,0.909
310,310,5,8,140,93,Monday,4,0.753
311,311,5,12,90,55,Monday,4,0.818
312,312,6,7,140,84,Monday,4,0.833
313,313,7,9,100,71,Monday,4,0.704
314,314,8,9,110,68,Monday,4,0.809
315,315,9,11,90,62,Monday,4,0.726
316,316,9,13,60,38,Monday,4,0.789
317,317,10,11,50,29,Monday,4,0.862
318,318,10,13,80,54,Monday,4,0.741
319,319,11,12,140,109,Monday,4,0.642
320,320,0,1,70,52,Monday,6,0.673
321,321,0,2,70,45,Monday,6,0.778
322,322,0,3,90,46,Monday,6,0.978
323,323,1,2,120,61,Monday,6,0.984
324,324,1,7,70,53,Monday,6,0.660
325,325,2,5,90,67,Monday,6,0.672
326,326,3,4,60,30,Monday,6,1.000
327,327,3,10,50,38,Monday,6,0.658
328,328,4,5,50,37,Monday,6,0.676
329,329,4,6,90,58,Monday,6,0.776
330,330,5,8,120,70,Monday,6,0.857
331,331,5,12,140,85,Monday,6,0.824
332,332,6,7,70,54,Monday,6,0.648
333,333,7,9,100,77,Monday,6,0.649
334,334,8,9,70,37,Monday,6,0.946
335,335,9,11,50,25,Monday,6,1.000
336,336,9,13,100,79,Monday,6,0.633
337,337,10,11,130,96,Monday,6,0.677
338,338,10,13,120,65,Monday,6,0.923
339,339,11,12,130,75,Monday,6,0.867
340,340,0,1,90,65,Monday,8,0.692
341,341,0,2,140,98,Monday,8,0.714
342,342,0,3,130,90,Monday,8,0.722
343,343,1,2,140,98,Monday,8,0.714
344,344,1,7,140,103,Monday,8,0.680
345,345,2,5,80,50,Monday,8,0.800
346,346,3,4,120,87,Monday,8,0.690
347,347,3,10,80,40,Monday,8,1.000
348,348,4,5,100,59,Monday,8,0.847
349,349,4,6,80,53,Monday,8,0.755
350,350,5,8,120,72,Monday,8,0.833
351,351,5,12,110,58,Monday,8,0.948
352,352,6,7,100,54,Monday,8,0.926
353,353,7,9,110,56,Monday,8,0.982
354,354,8,9,80,48,Monday,8,0.833
355,355,9,11,120,62,Monday,8,0.968
356,356,9,13,90,46,Monday,8,0.978
357,357,10,11,120,87,Monday,8,0.690
358,358,10,13,110,64,Monday,8,0.859
359,359,11,12,140,82,Monday,8,0.854
360,360,0,1,140,137,Monday,10,0.511
361,361,0,2,50,42,Monday,10,0.595
362,362,0,3,70,51,Monday,10,0.686
363,363,1,2,70,61,Monday,10,0.574
364,364,1,7,110,90,Monday,10,0.611
365,365,2,5,90,74,Monday,10,0.608
366,366,3,4,70,63,Monday,10,0.556
367,367,3,10,80,75,Monday,10,0.533
368,368,4,5,70,64,Monday,10,0.547
369,369,4,6,70,64,Monday,10,0.547
370,370,5,8,120,110,Monday,10,0.545
371,371,5,12,140,139,Monday,10,0.504
372,372,6,7,60,55,Monday,10,0.545
373,373,7,9,50,42,Monday,10,0.595
374,374,8,9,90,65,Monday,10,0.692
375,375,9,11,90,79,Monday,10,0.570
376,376,9,13,100,96,Monday,10,0.521
377,377,10,11,90,76,Monday,10,0.592
378,378,10,13,140,102,Monday,10,0.686
379,379,11,12,50,47,Monday,10,0.532
380,380,0,1,60,55,Monday,12,0.545
381,381,0,2,60,42,Monday,12,0.714
382,382,0,3,110,83,Monday,12,0.663
383,383,1,2,90,89,Monday,12,0.506
384,384,1,7,90,72,Monday,12,0.625
385,385,2,5,90,74,Monday,12,0.608
386,386,3,4,90,87,Monday,12,0.517
387,387,3,10,60,53,Monday,12,0.566
388,388,4,5,120,110,Monday,12,0.545
389,389,4,6,100,97,Monday,12,0.515
390,390,5,8,70,54,Monday,12,0.648
391,391,5,12,100,81,Monday,12,0.617
392,392,6,7,120,89,Monday,12,0.674
393,393,7,9,70,59,Monday,12,0.593
394,394,8,9,50,48,Monday,12,0.521
395,395,9,11,80,74,Monday,12,0.541
396,396,9,13,140,134,Monday,12,0.522
397,397,10,11,120,99,Monday,12,0.606
398,398,10,13,90,88,Monday,12,0.511
399,399,11,12,110,84,Monday,12,0.655
400,400,0,1,50,47,Monday,14,0.532
401,401,0,2,60,58,Monday,14,0.517
402,402,0,3,90,89,Monday,14,0.506
403,403,1,2,110,82,Monday,14,0.671
404,404,1,7,130,96,Monday,14,0.677
405,405,2,5,140,100,Monday,14,0.700
406,406,3,4,130,126,Monday,14,0.516
407,407,3,10,120,108,Monday,14,0.556
408,408,4,5,60,57,Monday,14,0.526
409,409,4,6,130,117,Monday,14,0.556
410,410,5,8,120,99,Monday,14,0.606
411,411,5,12,110,99,Monday,14,0.556
412,412,6,7,120,91,Monday,14,0.659
413,413,7,9,50,43,Monday,14,0.581
414,414,8,9,140,113,Monday,14,0.619
415,415,9,11,50,49,Monday,14,0.510
416,416,9,13,120,91,Monday,14,0.659
417,417,10,11,120,108,Monday,14,0.556
418,418,10,13,60,54,Monday,14,0.556
419,419,11,12,80,79,Monday,14,0.506
420,420,0,1,110,100,Monday,16,0.550
421,421,0,2,60,48,Monday,16,0.625
422,422,0,3,130,96,Monday,16,0.677
423,423,1,2,90,77,Monday,16,0.584
424,424,1,7,70,69,Monday,16,0.507
425,425,2,5,90,75,Monday,16,0.600
426,426,3,4,90,85,Monday,16,0.529
427,427,3,10,80,75,Monday,16,0.533
428,428,4,5,130,106,Monday,16,0.613
429,429,4,6,130,103,Monday,16,0.631
430,430,5,8,100,84,Monday,16,0.595
431,431,5,12,90,75,Monday,16,0.600
432,432,6,7,130,125,Monday,16,0.520
433,433,7,9,110,84,Monday,16,0.655
434,434,8,9,50,40,Monday,16,0.625
435,435,9,11,120,108,Monday,16,0.556
436,436,9,13,70,53,Monday,16,0.660
437,437,10,11,100,97,Monday,16,0.515
438,438,10,13,50,37,Monday,16,0.676
439,439,11,12,80,72,Monday,16,0.556
440,440,0,1,70,67,Monday,18,0.522
441,441,0,2,120,94,Monday,18,0.638
442,442,0,3,120,116,Monday,18,0.517
443,443,1,2,80,67,Monday,18,0.597
444,444,1,7,50,49,Monday,18,0.510
445,445,2,5,90,75,Monday,18,0.600
446,446,3,4,80,72,Monday,18,0.556
447,447,3,10,140,109,Monday,18,0.642
448,448,4,5,140,100,Monday,18,0.700
449,449,4,6,60,50,Monday,18,0.600
450,450,5,8,140,115,Monday,18,0.609
451,451,5,12,90,64,Monday,18,0.703
452,452,6,7,100,76,Monday,18,0.658
453,453,7,9,140,108,Monday,18,0.648
454,454,8,9,140,132,Monday,18,0.530
455,455,9,11,130,91,Monday,18,0.714
456,456,9,13,70,63,Monday,18,0.556
457,457,10,11,100,93,Monday,18,0.538
458,458,10,13,120,100,Monday,18,0.600
459,459,11,12,70,68,Monday,18,0.515
460,460,0,1,70,53,Monday,20,0.660
461,461,0,2,140,84,Monday,20,0.833
462,462,0,3,140,78,Monday,20,0.897
463,463,1,2,110,68,Monday,20,0.809
464,464,1,7,90,46,Monday,20,0.978
465,465,2,5,90,45,Monday,20,1.000
466,466,3,4,100,54,Monday,20,0.926
467,467,3,10,100,73,Monday,20,0.685
468,468,4,5,110,74,Monday,20,0.743
469,469,4,6,140,83,Monday,20,0.843
470,470,5,8,50,36,Monday,20,0.694
471,471,5,12,70,55,Monday,20,0.636
472,472,6,7,70,47,Monday,20,0.745
473,473,7,9,140,98,Monday,20,0.714
474,474,8,9,130,97,Monday,20,0.670
475,475,9,11,110,76,Monday,20,0.724
476,476,9,13,90,45,Monday,20,1.000
477,477,10,11,120,64,Monday,20,0.938
478,478,10,13,90,45,Monday,20,1.000
479,479,11,12,140,100,Monday,20,0.700
480,480,0,1,140,88,Monday,22,0.795
481,481,0,2,100,70,Monday,22,0.714
482,482,0,3,130,102,Monday,22,0.637
483,483,1,2,50,29,Monday,22,0.862
484,484,1,7,60,38,Monday,22,0.789
485,485,2,5,60,43,Monday,22,0.698
486,486,3,4,120,75,Monday,22,0.800
487,487,3,10,140,98,Monday,22,0.714
488,488,4,5,70,49,Monday,22,0.714
489,489,4,6,100,52,Monday,22,0.962
490,490,5,8,130,76,Monday,22,0.855
491,491,5,12,90,58,Monday,22,0.776
492,492,6,7,140,106,Monday,22,0.660
493,493,7,9,90,61,Monday,22,0.738
494,494,8,9,120,90,Monday,22,0.667
495,495,9,11,120,75,Monday,22,0.800
496,496,9,13,120,69,Monday,22,0.870
497,497,10,11,100,78,Monday,22,0.641
498,498,10,13,130,75,Monday,22,0.867
499,499,11,12,120,72,Monday,22,0.833
500,500,0,1,90,58,Monday,24,0.776
501,501,0,2,50,26,Monday,24,0.962
502,502,0,3,110,61,Monday,24,0.902
503,503,1,2,100,57,Monday,24,0.877
504,504,1,7,80,56,Monday,24,0.714
505,505,2,5,70,52,Monday,24,0.673
506,506,3,4,80,43,Monday,24,0.930
507,507,3,10,60,46,Monday,24,0.652
508,508,4,5,60,31,Monday,24,0.968
509,509,4,6,110,77,Monday,24,0.714
510,510,5,8,110,87,Monday,24,0.632
511,511,5,12,130,89,Monday,24,0.730
512,512,6,7,110,63,Monday,24,0.873
513,513,7,9,140,74,Monday,24,0.946
514,514,8,9,100,65,Monday,24,0.769
515,515,9,11,140,88,Monday,24,0.795
516,516,9,13,130,87,Monday,24,0.747
517,517,10,11,70,45,Monday,24,0.778
518,518,10,13,100,56,Monday,24,0.893
519,519,11,12,120,60,Monday,24,1.000
520,520,0,1,130,73,Tuesday,0,0.890
521,521,0,2,90,55,Tuesday,0,0.818
522,522,0,3,80,48,Tuesday,0,0.833
523,523,1,2,120,70,Tuesday,0,0.857
524,524,1,7,90,50,Tuesday,0,0.900
525,525,2,5,80,59,Tuesday,0,0.678
526,526,3,4,80,41,Tuesday,0,0.976
527,527,3,10,60,39,Tuesday,0,0.769
528,528,4,5,50,26,Tuesday,0,0.962
529,529,4,6,120,84,Tuesday,0,0.714
530,530,5,8,110,85,Tuesday,0,0.647
531,531,5,12,50,32,Tuesday,0,0.781
532,532,6,7,80,45,Tuesday,0,0.889
533,533,7,9,100,51,Tuesday,0,0.980
534,534,8,9,100,51,Tuesday,0,0.980
535,535,9,11,70,54,Tuesday,0,0.648
536,536,9,13,80,57,Tuesday,0,0.702
537,537,10,11,100,65,Tuesday,0,0.769
538,538,10,13,70,47,Tuesday,0,0.745
539,539,11,12,60,45,Tuesday,0,0.667
540,540,0,1,70,35,Tuesday,2,1.000
541,541,0,2,130,75,Tuesday,2,0.867
542,542,0,3,70,43,Tuesday,2,0.814
543,543,1,2,120,62,Tuesday,2,0.968
544,544,1,7,60,35,Tuesday,2,0.857
545,545,2,5,80,58,Tuesday,2,0.690
546,546,3,4,50,27,Tuesday,2,0.926
547,547,3,10,140,73,Tuesday,2,0.959
548,548,4,5,90,61,Tuesday,2,0.738
549,549,4,6,80,53,Tuesday,2,0.755
550,550,5,8,50,30,Tuesday,2,0.833
551,551,5,12,130,77,Tuesday,2,0.844
552,552,6,7,70,35,Tuesday,2,1.000
553,553,7,9,130,98,Tuesday,2,0.663
554,554,8,9,50,25,Tuesday,2,1.000
555,555,9,11,70,41,Tuesday,2,0.854
556,556,9,13,100,56,Tuesday,2,0.893
557,557,10,11,140,93,Tuesday,2,0.753
558,558,10,13,140,94,Tuesday,2,0.745
559,559,11,12,50,31,Tuesday,2,0.806
560,560,0,1,100,66,Tuesday,4,0.758
561,561,0,2,90,52,Tuesday,4,0.865
562,562,0,3,130,73,Tuesday,4,0.890
563,563,1,2,100,74,Tuesday,4,0.676
564,564,1,7,60,39,Tuesday,4,0.769
565,565,2,5,120,92,Tuesday,4,0.652
566,566,3,4,120,72,Tuesday,4,0.833
567,567,3,10,80,46,Tuesday,4,0.870
568,568,4,5,70,55,Tuesday,4,0.636
569,569,4,6,60,37,Tuesday,4,0.811
570,570,5,8,80,43,Tuesday,4,0.930
571,571,5,12,130,98,Tuesday,4,0.663
572,572,6,7,120,90,Tuesday,4,0.667
573,573,7,9,50,33,Tuesday,4,0.758
574,574,8,9,100,60,Tuesday,4,0.833
575,575,9,11,120,82,Tuesday,4,0.732
576,576,9,13,50,32,Tuesday,4,0.781
577,577,10,11,70,44,Tuesday,4,0.795
578,578,10,13,110,55,Tuesday,4,1.000
579,579,11,12,90,48,Tuesday,4,0.938
580,580,0,1,70,53,Tuesday,6,0.660
581,581,0,2,50,29,Tuesday,6,0.862
582,582,0,3,100,66,Tuesday,6,0.758
583,583,1,2,120,84,Tuesday,6,0.714
584,584,1,7,50,26,Tuesday,6,0.962
585,585,2,5,100,74,Tuesday,6,0.676
586,586,3,4,80,62,Tuesday,6,0.645
587,587,3,10,70,54,Tuesday,6,0.648
588,588,4,5,120,86,Tuesday,6,0.698
589,589,4,6,120,90,Tuesday,6,0.667
590,590,5,8,100,61,Tuesday,6,0.820
591,591,5,12,110,65,Tuesday,6,0.846
592,592,6,7,100,63,Tuesday,6,0.794
593,593,7,9,110,67,Tuesday,6,0.821
594,594,8,9,90,67,Tuesday,6,0.672
595,595,9,11,110,87,Tuesday,6,0.632
596,596,9,13,70,47,Tuesday,6,0.745
597,597,10,11,120,89,Tuesday,6,0.674
598,598,10,13,90,52,Tuesday,6,0.865
599,599,11,12,140,107,Tuesday,6,0.654
600,600,0,1,140,107,Tuesday,8,0.654
601,601,0,2,140,74,Tuesday,8,0.946
602,602,0,3,120,77,Tuesday,8,0.779
603,603,1,2,50,31,Tuesday,8,0.806
604,604,1,7,60,38,Tuesday,8,0.789
605,605,2,5,100,69,Tuesday,8,0.725
606,606,3,4,90,64,Tuesday,8,0.703
607,607,3,10,120,93,Tuesday,8,0.645
608,608,4,5,70,36,Tuesday,8,0.972
609,609,4,6,60,45,Tuesday,8,0.667
610,610,5,8,50,31,Tuesday,8,0.806
