ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour
229,4,6,60,20,Sunday,22
230,5,8,120,32,Sunday,22
231,5,12,120,47,Sunday,22
232,6,7,70,22,Sunday,22
233,7,9,120,31,Sunday,22
234,8,9,110,42,Sunday,22
235,9,11,120,13,Sunday,22
236,9,13,140,21,Sunday,22
237,10,11,80,20,Sunday,22
238,10,13,90,30,Sunday,22
239,11,12,120,24,Sunday,22
240,0,1,90,32,Sunday,24
241,0,2,130,14,Sunday,24
242,0,3,90,13,Sunday,24
243,1,2,140,43,Sunday,24
244,1,7,50,13,Sunday,24
245,2,5,90,13,Sunday,24
246,3,4,80,28,Sunday,24
247,3,10,110,34,Sunday,24
248,4,5,110,33,Sunday,24
249,4,6,100,22,Sunday,24
250,5,8,120,17,Sunday,24
251,5,12,50,19,Sunday,24
252,6,7,50,12,Sunday,24
253,7,9,80,10,Sunday,24
254,8,9,50,7,Sunday,24
255,9,11,80,9,Sunday,24
256,9,13,80,11,Sunday,24
257,10,11,60,20,Sunday,24
258,10,13,130,15,Sunday,24
259,11,12,110,33,Sunday,24
260,0,1,100,79,Monday,0
261,0,2,80,44,Monday,0
262,0,3,90,69,Monday,0
263,1,2,130,85,Monday,0
264,1,7,110,71,Monday,0
265,2,5,120,89,Monday,0
266,3,4,100,75,Monday,0
267,3,10,50,36,Monday,0
268,4,5,70,39,Monday,0
269,4,6,130,65,Monday,0
270,5,8,70,55,Monday,0
271,5,12,110,76,Monday,0
272,6,7,50,31,Monday,0
273,7,9,80,45,Monday,0
274,8,9,140,91,Monday,0
275,9,11,70,40,Monday,0
276,9,13,130,65,Monday,0
277,10,11,120,88,Monday,0
278,10,13,70,47,Monday,0
279,11,12,130,87,Monday,0
280,0,1,100,74,Monday,2
281,0,2,60,34,Monday,2
282,0,3,140,78,Monday,2
283,1,2,50,26,Monday,2
284,1,7,120,60,Monday,2
285,2,5,110,84,Monday,2
286,3,4,120,90,Monday,2
287,3,10,140,99,Monday,2
288,4,5,120,80,Monday,2
289,4,6,50,27,Monday,2
290,5,8,100,67,Monday,2
291,5,12,140,91,Monday,2
292,6,7,90,61,Monday,2
293,7,9,120,82,Monday,2
294,8,9,60,36,Monday,2
295,9,11,120,71,Monday,2
296,9,13,110,60,Monday,2
297,10,11,140,101,Monday,2
298,10,13,70,51,Monday,2
299,11,12,120,64,Monday,2
300,0,1,100,58,Monday,4
301,0,2,50,25,Monday,4
302,0,3,80,57,Monday,4
303,1,2,90,60,Monday,4
304,1,7,60,45,Monday,4
305,2,5,100,75,Monday,4
306,3,4,120,91,Monday,4
307,3,10,120,92,Monday,4
308,4,5,60,38,Monday,4
309,4,6,60,34,Monday,4
310,5,8,90,46,Monday,4
311,5,12,120,76,Monday,4
312,6,7,80,52,Monday,4
313,7,9,70,38,Monday,4
314,8,9,120,70,Monday,4
315,9,11,110,67,Monday,4
316,9,13,130,99,Monday,4
317,10,11,60,47,Monday,4
318,10,13,110,59,Monday,4
319,11,12,130,68,Monday,4
320,0,1,50,36,Monday,6
321,0,2,80,59,Monday,6
322,0,3,120,92,Monday,6
323,1,2,50,25,Monday,6
324,1,7,100,79,Monday,6
325,2,5,90,62,Monday,6
326,3,4,90,65,Monday,6
327,3,10,50,29,Monday,6
328,4,5,110,60,Monday,6
329,4,6,90,60,Monday,6
330,5,8,60,32,Monday,6
331,5,12,50,35,Monday,6
332,6,7,70,37,Monday,6
333,7,9,80,40,Monday,6
334,8,9,120,69,Monday,6
335,9,11,90,62,Monday,6
336,9,13,50,37,Monday,6
337,10,11,90,45,Monday,6
338,10,13,110,79,Monday,6
339,11,12,130,87,Monday,6
340,0,1,120,62,Monday,8
341,0,2,60,41,Monday,8
342,0,3,120,65,Monday,8
343,1,2,130,102,Monday,8
344,1,7,60,35,Monday,8
345,2,5,50,30,Monday,8
346,3,4,120,66,Monday,8
347,3,10,70,47,Monday,8
348,4,5,120,65,Monday,8
349,4,6,50,28,Monday,8
350,5,8,90,49,Monday,8
351,5,12,140,84,Monday,8
352,6,7,110,68,Monday,8
353,7,9,60,31,Monday,8
354,8,9,70,50,Monday,8
355,9,11,60,45,Monday,8
356,9,13,130,86,Monday,8
357,10,11,70,38,Monday,8
358,10,13,120,64,Monday,8
359,11,12,120,94,Monday,8
360,0,1,110,77,Monday,10
361,0,2,130,102,Monday,10
362,0,3,100,75,Monday,10
363,1,2,90,85,Monday,10
364,1,7,120,102,Monday,10
365,2,5,110,81,Monday,10
366,3,4,80,62,Monday,10
367,3,10,70,57,Monday,10
368,4,5,80,75,Monday,10
369,4,6,60,59,Monday,10
370,5,8,50,45,Monday,10
371,5,12,70,49,Monday,10
372,6,7,100,79,Monday,10
373,7,9,100,81,Monday,10
374,8,9,140,109,Monday,10
375,9,11,50,49,Monday,10
376,9,13,110,83,Monday,10
377,10,11,90,88,Monday,10
378,10,13,80,76,Monday,10
379,11,12,140,107,Monday,10
380,0,1,140,131,Monday,12
381,0,2,110,99,Monday,12
382,0,3,120,94,Monday,12
383,1,2,50,45,Monday,12
384,1,7,60,42,Monday,12
385,2,5,70,56,Monday,12
386,3,4,100,99,Monday,12
387,3,10,110,77,Monday,12
388,4,5,100,81,Monday,12
389,4,6,110,97,Monday,12
390,5,8,120,85,Monday,12
391,5,12,90,83,Monday,12
392,6,7,110,87,Monday,12
393,7,9,90,80,Monday,12
394,8,9,120,86,Monday,12
395,9,11,70,67,Monday,12
396,9,13,80,72,Monday,12
397,10,11,80,73,Monday,12
398,10,13,140,124,Monday,12
399,11,12,100,87,Monday,12
400,0,1,50,44,Monday,14
401,0,2,100,77,Monday,14
402,0,3,100,85,Monday,14
403,1,2,60,48,Monday,14
404,1,7,50,38,Monday,14
405,2,5,120,111,Monday,14
406,3,4,100,81,Monday,14
407,3,10,60,54,Monday,14
408,4,5,70,65,Monday,14
409,4,6,110,88,Monday,14
410,5,8,120,90,Monday,14
411,5,12,50,41,Monday,14
412,6,7,140,113,Monday,14
413,7,9,100,88,Monday,14
414,8,9,140,139,Monday,14
415,9,11,50,46,Monday,14
416,9,13,100,72,Monday,14
417,10,11,70,50,Monday,14
418,10,13,120,103,Monday,14
419,11,12,80,71,Monday,14
420,0,1,60,56,Monday,16
421,0,2,130,127,Monday,16
422,0,3,140,137,Monday,16
423,1,2,100,95,Monday,16
424,1,7,90,76,Monday,16
425,2,5,140,115,Monday,16
426,3,4,130,91,Monday,16
427,3,10,130,103,Monday,16
428,4,5,140,116,Monday,16
429,4,6,90,71,Monday,16
430,5,8,60,50,Monday,16
431,5,12,90,78,Monday,16
432,6,7,80,57,Monday,16
433,7,9,110,94,Monday,16
434,8,9,60,48,Monday,16
435,9,11,120,91,Monday,16
436,9,13,90,65,Monday,16
437,10,11,70,68,Monday,16
438,10,13,50,49,Monday,16
439,11,12,50,42,Monday,16
440,0,1,90,89,Monday,18
441,0,2,70,55,Monday,18
442,0,3,90,80,Monday,18
443,1,2,80,61,Monday,18
444,1,7,140,131,Monday,18
445,2,5,120,86,Monday,18
446,3,4,80,73,Monday,18
447,3,10,120,105,Monday,18
448,4,5,70,64,Monday,18
449,4,6,50,49,Monday,18
450,5,8,140,107,Monday,18
451,5,12,60,47,Monday,18
452,6,7,100,86,Monday,18
453,7,9,110,88,Monday,18
454,8,9,120,106,Monday,18
455,9,11,90,69,Monday,18
456,9,13,70,68,Monday,18
457,10,11,130,120,Monday,18
458,10,13,60,43,Monday,18
459,11,12,100,78,Monday,18
460,0,1,70,45,Monday,20
461,0,2,90,59,Monday,20
462,0,3,130,68,Monday,20
463,1,2,120,84,Monday,20
464,1,7,110,74,Monday,20
465,2,5,90,55,Monday,20
466,3,4,120,70,Monday,20
467,3,10,120,70,Monday,20
468,4,5,50,25,Monday,20
469,4,6,120,88,Monday,20
470,5,8,90,59,Monday,20
471,5,12,120,65,Monday,20
472,6,7,100,70,Monday,20
473,7,9,90,53,Monday,20
474,8,9,60,43,Monday,20
475,9,11,110,55,Monday,20
476,9,13,140,82,Monday,20
477,10,11,60,45,Monday,20
478,10,13,60,43,Monday,20
479,11,12,50,29,Monday,20
480,0,1,110,67,Monday,22
481,0,2,130,77,Monday,22
482,0,3,90,60,Monday,22
483,1,2,80,58,Monday,22
484,1,7,110,78,Monday,22
485,2,5,110,57,Monday,22
486,3,4,140,101,Monday,22
487,3,10,130,78,Monday,22
488,4,5,100,75,Monday,22
489,4,6,130,83,Monday,22
490,5,8,130,68,Monday,22
491,5,12,70,39,Monday,22
492,6,7,110,81,Monday,22
493,7,9,100,52,Monday,22
494,8,9,120,80,Monday,22
495,9,11,50,32,Monday,22
496,9,13,100,51,Monday,22
497,10,11,90,54,Monday,22
498,10,13,100,78,Monday,22
499,11,12,120,71,Monday,22
500,0,1,80,51,Monday,24
501,0,2,50,30,Monday,24
502,0,3,140,104,Monday,24
503,1,2,80,51,Monday,24
504,1,7,80,43,Monday,24
505,2,5,140,98,Monday,24
506,3,4,90,59,Monday,24
507,3,10,120,63,Monday,24
508,4,5,110,70,Monday,24
509,4,6,90,46,Monday,24
510,5,8,90,68,Monday,24
511,5,12,60,32,Monday,24
512,6,7,60,34,Monday,24
513,7,9,90,50,Monday,24
514,8,9,80,63,Monday,24
515,9,11,100,70,Monday,24
516,9,13,90,71,Monday,24
517,10,11,50,27,Monday,24
518,10,13,110,83,Monday,24
519,11,12,50,36,Monday,24
520,0,1,70,46,Tuesday,0
521,0,2,130,66,Tuesday,0
522,0,3,70,41,Tuesday,0
523,1,2,50,29,Tuesday,0
524,1,7,90,51,Tuesday,0
525,2,5,80,54,Tuesday,0
526,3,4,60,42,Tuesday,0
527,3,10,140,106,Tuesday,0
528,4,5,70,46,Tuesday,0
529,4,6,110,78,Tuesday,0
530,5,8,110,72,Tuesday,0
531,5,12,60,34,Tuesday,0
532,6,7,60,38,Tuesday,0
533,7,9,140,70,Tuesday,0
534,8,9,80,58,Tuesday,0
535,9,11,60,34,Tuesday,0
536,9,13,140,79,Tuesday,0
537,10,11,100,50,Tuesday,0
538,10,13,80,60,Tuesday,0
539,11,12,140,97,Tuesday,0
540,0,1,120,61,Tuesday,2
541,0,2,100,57,Tuesday,2
542,0,3,110,59,Tuesday,2
543,1,2,80,44,Tuesday,2
544,1,7,100,66,Tuesday,2
545,2,5,90,68,Tuesday,2
546,3,4,50,32,Tuesday,2
547,3,10,110,63,Tuesday,2
548,4,5,140,98,Tuesday,2
549,4,6,120,72,Tuesday,2
550,5,8,120,91,Tuesday,2
551,5,12,80,47,Tuesday,2
552,6,7,130,87,Tuesday,2
553,7,9,90,69,Tuesday,2
554,8,9,140,107,Tuesday,2
555,9,11,110,72,Tuesday,2
556,9,13,70,35,Tuesday,2
557,10,11,80,53,Tuesday,2
558,10,13,60,42,Tuesday,2
559,11,12,130,87,Tuesday,2
560,0,1,50,35,Tuesday,4
561,0,2,80,42,Tuesday,4
562,0,3,50,38,Tuesday,4
563,1,2,60,39,Tuesday,4
564,1,7,110,77,Tuesday,4
565,2,5,70,42,Tuesday,4
566,3,4,50,27,Tuesday,4
567,3,10,60,33,Tuesday,4
568,4,5,140,87,Tuesday,4
569,4,6,100,55,Tuesday,4
570,5,8,70,43,Tuesday,4
571,5,12,120,68,Tuesday,4
572,6,7,110,76,Tuesday,4
573,7,9,100,68,Tuesday,4
574,8,9,130,82,Tuesday,4
575,9,11,70,55,Tuesday,4
576,9,13,110,81,Tuesday,4
577,10,11,110,84,Tuesday,4
578,10,13,60,45,Tuesday,4
579,11,12,130,77,Tuesday,4
580,0,1,140,72,Tuesday,6
581,0,2,110,71,Tuesday,6
582,0,3,90,55,Tuesday,6
583,1,2,110,81,Tuesday,6
584,1,7,90,49,Tuesday,6
585,2,5,110,81,Tuesday,6
586,3,4,50,32,Tuesday,6
587,3,10,80,45,Tuesday,6
588,4,5,130,93,Tuesday,6
589,4,6,120,95,Tuesday,6
590,5,8,130,80,Tuesday,6
591,5,12,50,26,Tuesday,6
592,6,7,50,31,Tuesday,6
593,7,9,70,43,Tuesday,6
594,8,9,140,109,Tuesday,6
595,9,11,110,82,Tuesday,6
596,9,13,140,76,Tuesday,6
597,10,11,80,58,Tuesday,6
598,10,13,80,54,Tuesday,6
599,11,12,100,61,Tuesday,6
600,0,1,140,107,Tuesday,8
601,0,2,60,31,Tuesday,8
602,0,3,70,50,Tuesday,8
603,1,2,100,50,Tuesday,8
604,1,7,70,37,Tuesday,8
605,2,5,120,84,Tuesday,8
606,3,4,120,62,Tuesday,8
607,3,10,130,68,Tuesday,8
608,4,5,130,75,Tuesday,8
609,4,6,130,83,Tuesday,8
610,5,8,70,50,Tuesday,8
611,5,12,110,75,Tuesday,8
612,6,7,70,42,Tuesday,8
613,7,9,120,91,Tuesday,8
614,8,9,130,72,Tuesday,8
615,9,11,120,95,Tuesday,8
616,9,13,120,75,Tuesday,8
617,10,11,120,63,Tuesday,8
618,10,13,80,63,Tuesday,8
619,11,12,130,79,Tuesday,8
620,0,1,80,62,Tuesday,10
621,0,2,100,80,Tuesday,10
622,0,3,120,101,Tuesday,10
623,1,2,60,57,Tuesday,10
624,1,7,70,55,Tuesday,10
625,2,5,120,95,Tuesday,10
626,3,4,140,100,Tuesday,10
627,3,10,80,75,Tuesday,10
628,4,5,100,98,Tuesday,10
629,4,6,90,73,Tuesday,10
630,5,8,60,55,Tuesday,10
631,5,12,100,83,Tuesday,10
632,6,7,90,75,Tuesday,10
633,7,9,130,113,Tuesday,10
634,8,9,50,49,Tuesday,10
635,9,11,100,90,Tuesday,10
636,9,13,140,128,Tuesday,10
637,10,11,140,122,Tuesday,10
638,10,13,90,76,Tuesday,10
639,11,12,100,88,Tuesday,10
640,0,1,60,57,Tuesday,12
641,0,2,60,47,Tuesday,12
642,0,3,130,122,Tuesday,12
643,1,2,70,64,Tuesday,12
644,1,7,60,53,Tuesday,12
645,2,5,140,101,Tuesday,12
646,3,4,80,57,Tuesday,12
647,3,10,110,88,Tuesday,12
648,4,5,110,89,Tuesday,12
649,4,6,130,125,Tuesday,12
650,5,8,90,87,Tuesday,12
651,5,12,80,66,Tuesday,12
652,6,7,90,73,Tuesday,12
653,7,9,50,44,Tuesday,12
654,8,9,50,38,Tuesday,12
655,9,11,60,55,Tuesday,12
656,9,13,50,47,Tuesday,12
657,10,11,120,109,Tuesday,12
658,10,13,90,67,Tuesday,12
659,11,12,70,56,Tuesday,12
660,0,1,50,38,Tuesday,14
661,0,2,70,61,Tuesday,14
662,0,3,100,88,Tuesday,14
663,1,2,70,50,Tuesday,14
664,1,7,80,73,Tuesday,14
665,2,5,60,48,Tuesday,14
666,3,4,60,48,Tuesday,14
667,3,10,130,125,Tuesday,14
668,4,5,140,103,Tuesday,14
669,4,6,140,133,Tuesday,14
670,5,8,70,57,Tuesday,14
671,5,12,130,125,Tuesday,14
672,6,7,60,47,Tuesday,14
673,7,9,70,51,Tuesday,14
674,8,9,110,93,Tuesday,14
675,9,11,90,67,Tuesday,14
676,9,13,60,59,Tuesday,14
677,10,11,50,43,Tuesday,14
678,10,13,70,68,Tuesday,14
679,11,12,50,39,Tuesday,14
680,0,1,70,68,Tuesday,16
681,0,2,120,99,Tuesday,16
682,0,3,100,86,Tuesday,16
683,1,2,50,36,Tuesday,16
684,1,7,50,35,Tuesday,16
685,2,5,90,64,Tuesday,16
686,3,4,70,52,Tuesday,16
687,3,10,90,88,Tuesday,16
688,4,5,60,44,Tuesday,16
689,4,6,100,83,Tuesday,16
690,5,8,140,116,Tuesday,16
691,5,12,140,112,Tuesday,16
692,6,7,110,102,Tuesday,16
693,7,9,130,118,Tuesday,16
694,8,9,90,79,Tuesday,16
695,9,11,90,70,Tuesday,16
696,9,13,70,64,Tuesday,16
697,10,11,50,37,Tuesday,16
698,10,13,140,131,Tuesday,16
699,11,12,100,98,Tuesday,16
700,0,1,60,44,Tuesday,18
701,0,2,140,116,Tuesday,18
702,0,3,90,72,Tuesday,18
703,1,2,140,129,Tuesday,18
704,1,7,60,56,Tuesday,18
705,2,5,80,69,Tuesday,18
706,3,4,100,95,Tuesday,18
707,3,10,70,57,Tuesday,18
708,4,5,90,74,Tuesday,18
709,4,6,110,81,Tuesday,18
710,5,8,120,92,Tuesday,18
711,5,12,140,110,Tuesday,18
712,6,7,90,89,Tuesday,18
713,7,9,50,38,Tuesday,18
714,8,9,50,47,Tuesday,18
715,9,11,60,58,Tuesday,18
716,9,13,70,56,Tuesday,18
717,10,11,100,70,Tuesday,18
718,10,13,90,72,Tuesday,18
719,11,12,110,87,Tuesday,18
720,0,1,120,78,Tuesday,20
721,0,2,50,29,Tuesday,20
722,0,3,50,26,Tuesday,20
723,1,2,90,60,Tuesday,20
724,1,7,100,69,Tuesday,20
725,2,5,130,86,Tuesday,20
726,3,4,140,89,Tuesday,20
727,3,10,50,29,Tuesday,20
728,4,5,90,56,Tuesday,20
729,4,6,120,84,Tuesday,20
730,5,8,60,44,Tuesday,20
731,5,12,120,92,Tuesday,20
732,6,7,100,57,Tuesday,20
733,7,9,80,51,Tuesday,20
734,8,9,100,64,Tuesday,20
735,9,11,70,41,Tuesday,20
736,9,13,90,52,Tuesday,20
737,10,11,140,76,Tuesday,20
738,10,13,130,92,Tuesday,20
739,11,12,110,84,Tuesday,20
740,0,1,60,33,Tuesday,22
741,0,2,50,37,Tuesday,22
742,0,3,60,43,Tuesday,22
743,1,2,110,72,Tuesday,22
744,1,7,70,54,Tuesday,22
745,2,5,110,70,Tuesday,22
746,3,4,80,53,Tuesday,22
747,3,10,50,25,Tuesday,22
748,4,5,140,108,Tuesday,22
749,4,6,70,55,Tuesday,22
750,5,8,120,93,Tuesday,22
751,5,12,90,60,Tuesday,22
752,6,7,140,87,Tuesday,22
753,7,9,60,32,Tuesday,22
754,8,9,80,54,Tuesday,22
755,9,11,100,68,Tuesday,22
756,9,13,130,87,Tuesday,22
757,10,11,100,55,Tuesday,22
758,10,13,60,46,Tuesday,22
759,11,12,110,58,Tuesday,22
760,0,1,50,39,Tuesday,24
761,0,2,90,52,Tuesday,24
762,0,3,80,51,Tuesday,24
763,1,2,110,69,Tuesday,24
764,1,7,70,47,Tuesday,24
765,2,5,80,56,Tuesday,24
766,3,4,100,70,Tuesday,24
767,3,10,130,97,Tuesday,24
768,4,5,60,47,Tuesday,24
769,4,6,50,36,Tuesday,24
770,5,8,130,94,Tuesday,24
771,5,12,110,71,Tuesday,24
772,6,7,60,46,Tuesday,24
773,7,9,80,40,Tuesday,24
774,8,9,130,90,Tuesday,24
775,9,11,80,61,Tuesday,24
776,9,13,120,84,Tuesday,24
777,10,11,120,67,Tuesday,24
778,10,13,130,78,Tuesday,24
779,11,12,70,39,Tuesday,24
780,0,1,100,50,Wednesday,0
781,0,2,130,82,Wednesday,0
782,0,3,120,70,Wednesday,0
783,1,2,110,65,Wednesday,0
784,1,7,60,33,Wednesday,0
785,2,5,50,35,Wednesday,0
786,3,4,100,59,Wednesday,0
787,3,10,110,83,Wednesday,0
788,4,5,110,65,Wednesday,0
789,4,6,70,53,Wednesday,0
790,5,8,100,72,Wednesday,0
791,5,12,50,38,Wednesday,0
792,6,7,80,50,Wednesday,0
793,7,9,50,32,Wednesday,0
794,8,9,120,67,Wednesday,0
795,9,11,140,106,Wednesday,0
796,9,13,100,51,Wednesday,0
797,10,11,100,68,Wednesday,0
798,10,13,90,58,Wednesday,0
799,11,12,100,55,Wednesday,0
800,0,1,110,83,Wednesday,2
801,0,2,110,84,Wednesday,2
802,0,3,50,36,Wednesday,2
803,1,2,100,64,Wednesday,2
804,1,7,90,64,Wednesday,2
805,2,5,60,44,Wednesday,2
806,3,4,140,102,Wednesday,2
807,3,10,140,107,Wednesday,2
808,4,5,70,42,Wednesday,2
809,4,6,50,37,Wednesday,2
810,5,8,80,46,Wednesday,2
811,5,12,90,48,Wednesday,2
812,6,7,140,77,Wednesday,2
813,7,9,120,72,Wednesday,2
814,8,9,100,57,Wednesday,2
