ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour
81,0,2,110,29,Sunday,8
82,0,3,70,21,Sunday,8
83,1,2,140,24,Sunday,8
84,1,7,130,42,Sunday,8
85,2,5,120,32,Sunday,8
86,3,4,120,29,Sunday,8
87,3,10,90,24,Sunday,8
88,4,5,110,20,Sunday,8
89,4,6,60,18,Sunday,8
90,5,8,130,24,Sunday,8
91,5,12,120,33,Sunday,8
92,6,7,70,9,Sunday,8
93,7,9,120,29,Sunday,8
94,8,9,130,48,Sunday,8
95,9,11,130,36,Sunday,8
96,9,13,60,17,Sunday,8
97,10,11,140,16,Sunday,8
98,10,13,90,20,Sunday,8
99,11,12,130,30,Sunday,8
100,0,1,120,52,Sunday,10
101,0,2,90,37,Sunday,10
102,0,3,70,39,Sunday,10
103,1,2,50,22,Sunday,10
104,1,7,130,55,Sunday,10
105,2,5,100,51,Sunday,10
106,3,4,90,41,Sunday,10
107,3,10,90,53,Sunday,10
108,4,5,130,61,Sunday,10
109,4,6,100,38,Sunday,10
110,5,8,100,53,Sunday,10
111,5,12,110,55,Sunday,10
112,6,7,70,35,Sunday,10
113,7,9,100,40,Sunday,10
114,8,9,130,48,Sunday,10
115,9,11,130,49,Sunday,10
116,9,13,80,35,Sunday,10
117,10,11,120,54,Sunday,10
118,10,13,60,31,Sunday,10
119,11,12,70,40,Sunday,10
120,0,1,140,75,Sunday,12
121,0,2,110,52,Sunday,12
122,0,3,140,77,Sunday,12
123,1,2,90,50,Sunday,12
124,1,7,50,18,Sunday,12
125,2,5,70,39,Sunday,12
126,3,4,120,47,Sunday,12
127,3,10,80,45,Sunday,12
128,4,5,70,41,Sunday,12
129,4,6,50,22,Sunday,12
130,5,8,80,29,Sunday,12
131,5,12,50,29,Sunday,12
132,6,7,70,24,Sunday,12
133,7,9,100,35,Sunday,12
134,8,9,120,48,Sunday,12
135,9,11,130,41,Sunday,12
136,9,13,110,62,Sunday,12
137,10,11,100,42,Sunday,12
138,10,13,140,46,Sunday,12
139,11,12,140,55,Sunday,12
140,0,1,80,46,Sunday,14
141,0,2,100,30,Sunday,14
142,0,3,100,42,Sunday,14
143,1,2,90,40,Sunday,14
144,1,7,60,35,Sunday,14
145,2,5,100,31,Sunday,14
146,3,4,130,58,Sunday,14
147,3,10,60,27,Sunday,14
148,4,5,130,71,Sunday,14
149,4,6,100,48,Sunday,14
150,5,8,90,38,Sunday,14
151,5,12,70,34,Sunday,14
152,6,7,110,56,Sunday,14
153,7,9,120,45,Sunday,14
154,8,9,70,40,Sunday,14
155,9,11,110,63,Sunday,14
156,9,13,80,28,Sunday,14
157,10,11,140,47,Sunday,14
158,10,13,100,56,Sunday,14
159,11,12,50,21,Sunday,14
160,0,1,60,28,Sunday,16
161,0,2,140,81,Sunday,16
162,0,3,130,48,Sunday,16
163,1,2,100,50,Sunday,16
164,1,7,140,66,Sunday,16
165,2,5,110,60,Sunday,16
166,3,4,80,39,Sunday,16
167,3,10,90,42,Sunday,16
168,4,5,110,57,Sunday,16
169,4,6,70,40,Sunday,16
170,5,8,140,58,Sunday,16
171,5,12,90,42,Sunday,16
172,6,7,90,40,Sunday,16
173,7,9,50,20,Sunday,16
174,8,9,90,42,Sunday,16
175,9,11,90,31,Sunday,16
176,9,13,120,37,Sunday,16
177,10,11,60,32,Sunday,16
178,10,13,80,33,Sunday,16
179,11,12,50,27,Sunday,16
180,0,1,70,33,Sunday,18
181,0,2,50,22,Sunday,18
182,0,3,130,74,Sunday,18
183,1,2,90,34,Sunday,18
184,1,7,120,38,Sunday,18
185,2,5,80,39,Sunday,18
186,3,4,90,31,Sunday,18
187,3,10,90,36,Sunday,18
188,4,5,120,66,Sunday,18
189,4,6,130,77,Sunday,18
190,5,8,60,18,Sunday,18
191,5,12,70,30,Sunday,18
192,6,7,90,44,Sunday,18
193,7,9,100,49,Sunday,18
194,8,9,90,50,Sunday,18
195,9,11,130,40,Sunday,18
196,9,13,120,58,Sunday,18
197,10,11,100,51,Sunday,18
198,10,13,140,50,Sunday,18
199,11,12,50,15,Sunday,18
200,0,1,90,26,Sunday,20
201,0,2,120,18,Sunday,20
202,0,3,130,25,Sunday,20
203,1,2,50,11,Sunday,20
204,1,7,110,41,Sunday,20
205,2,5,110,41,Sunday,20
206,3,4,110,23,Sunday,20
207,3,10,90,23,Sunday,20
208,4,5,60,15,Sunday,20
209,4,6,50,16,Sunday,20
210,5,8,110,29,Sunday,20
211,5,12,120,31,Sunday,20
212,6,7,70,12,Sunday,20
213,7,9,120,47,Sunday,20
214,8,9,120,33,Sunday,20
215,9,11,130,22,Sunday,20
216,9,13,110,14,Sunday,20
217,10,11,60,13,Sunday,20
218,10,13,90,35,Sunday,20
219,11,12,60,8,Sunday,20
220,0,1,50,10,Sunday,22
221,0,2,110,15,Sunday,22
222,0,3,110,42,Sunday,22
223,1,2,50,6,Sunday,22
224,1,7,60,13,Sunday,22
225,2,5,140,55,Sunday,22
226,3,4,60,10,Sunday,22
227,3,10,90,31,Sunday,22
228,4,5,120,21,Sunday,22
229,4,6,70,26,Sunday,22
230,5,8,70,20,Sunday,22
231,5,12,70,9,Sunday,22
232,6,7,140,27,Sunday,22
233,7,9,50,13,Sunday,22
234,8,9,60,18,Sunday,22
235,9,11,60,14,Sunday,22
236,9,13,50,14,Sunday,22
237,10,11,140,21,Sunday,22
238,10,13,110,19,Sunday,22
239,11,12,50,11,Sunday,22
240,0,1,60,16,Sunday,24
241,0,2,140,45,Sunday,24
242,0,3,120,34,Sunday,24
243,1,2,100,39,Sunday,24
244,1,7,50,7,Sunday,24
245,2,5,90,13,Sunday,24
246,3,4,140,54,Sunday,24
247,3,10,130,31,Sunday,24
248,4,5,130,48,Sunday,24
249,4,6,140,28,Sunday,24
250,5,8,90,11,Sunday,24
251,5,12,130,28,Sunday,24
252,6,7,90,35,Sunday,24
253,7,9,90,25,Sunday,24
254,8,9,70,14,Sunday,24
255,9,11,100,24,Sunday,24
256,9,13,110,22,Sunday,24
257,10,11,70,7,Sunday,24
258,10,13,100,12,Sunday,24
259,11,12,140,16,Sunday,24
260,0,1,60,33,Monday,0
261,0,2,130,103,Monday,0
262,0,3,120,75,Monday,0
263,1,2,110,84,Monday,0
264,1,7,120,80,Monday,0
265,2,5,60,46,Monday,0
266,3,4,50,33,Monday,0
267,3,10,110,58,Monday,0
268,4,5,70,48,Monday,0
269,4,6,80,63,Monday,0
270,5,8,60,32,Monday,0
271,5,12,120,73,Monday,0
272,6,7,70,54,Monday,0
273,7,9,110,77,Monday,0
274,8,9,80,49,Monday,0
275,9,11,100,79,Monday,0
276,9,13,140,92,Monday,0
277,10,11,110,79,Monday,0
278,10,13,70,46,Monday,0
279,11,12,90,70,Monday,0
280,0,1,110,78,Monday,2
281,0,2,130,67,Monday,2
282,0,3,140,106,Monday,2
283,1,2,80,63,Monday,2
284,1,7,70,47,Monday,2
285,2,5,60,33,Monday,2
286,3,4,50,25,Monday,2
287,3,10,70,41,Monday,2
288,4,5,80,41,Monday,2
289,4,6,120,90,Monday,2
290,5,8,100,50,Monday,2
291,5,12,110,85,Monday,2
292,6,7,90,64,Monday,2
293,7,9,110,75,Monday,2
294,8,9,120,89,Monday,2
295,9,11,60,36,Monday,2
296,9,13,70,55,Monday,2
297,10,11,70,37,Monday,2
298,10,13,100,77,Monday,2
299,11,12,110,85,Monday,2
300,0,1,70,52,Monday,4
301,0,2,90,48,Monday,4
302,0,3,90,71,Monday,4
303,1,2,70,44,Monday,4
304,1,7,80,41,Monday,4
305,2,5,120,62,Monday,4
306,3,4,100,79,Monday,4
307,3,10,100,60,Monday,4
308,4,5,50,36,Monday,4
309,4,6,50,35,Monday,4
310,5,8,120,90,Monday,4
311,5,12,70,38,Monday,4
312,6,7,100,59,Monday,4
313,7,9,120,75,Monday,4
314,8,9,70,36,Monday,4
315,9,11,80,62,Monday,4
316,9,13,50,34,Monday,4
317,10,11,80,61,Monday,4
318,10,13,60,42,Monday,4
319,11,12,100,71,Monday,4
320,0,1,90,50,Monday,6
321,0,2,120,83,Monday,6
322,0,3,90,47,Monday,6
323,1,2,120,70,Monday,6
324,1,7,80,45,Monday,6
325,2,5,80,41,Monday,6
326,3,4,140,97,Monday,6
327,3,10,90,45,Monday,6
328,4,5,120,63,Monday,6
329,4,6,120,86,Monday,6
330,5,8,70,36,Monday,6
331,5,12,50,33,Monday,6
332,6,7,130,101,Monday,6
333,7,9,100,53,Monday,6
334,8,9,60,37,Monday,6
335,9,11,120,65,Monday,6
336,9,13,120,63,Monday,6
337,10,11,80,60,Monday,6
338,10,13,50,32,Monday,6
339,11,12,110,58,Monday,6
340,0,1,50,29,Monday,8
341,0,2,110,83,Monday,8
342,0,3,90,65,Monday,8
343,1,2,50,39,Monday,8
344,1,7,50,28,Monday,8
345,2,5,70,51,Monday,8
346,3,4,110,67,Monday,8
347,3,10,130,79,Monday,8
348,4,5,60,40,Monday,8
349,4,6,60,32,Monday,8
350,5,8,130,75,Monday,8
351,5,12,140,74,Monday,8
352,6,7,80,59,Monday,8
353,7,9,50,32,Monday,8
354,8,9,130,87,Monday,8
355,9,11,120,87,Monday,8
356,9,13,140,94,Monday,8
357,10,11,130,73,Monday,8
358,10,13,50,39,Monday,8
359,11,12,90,67,Monday,8
360,0,1,120,98,Monday,10
361,0,2,130,98,Monday,10
362,0,3,70,58,Monday,10
363,1,2,120,89,Monday,10
364,1,7,90,89,Monday,10
365,2,5,110,97,Monday,10
366,3,4,70,53,Monday,10
367,3,10,130,96,Monday,10
368,4,5,120,99,Monday,10
369,4,6,60,55,Monday,10
370,5,8,140,113,Monday,10
371,5,12,90,64,Monday,10
372,6,7,120,99,Monday,10
373,7,9,50,46,Monday,10
374,8,9,80,65,Monday,10
375,9,11,100,98,Monday,10
376,9,13,60,44,Monday,10
377,10,11,110,97,Monday,10
378,10,13,110,77,Monday,10
379,11,12,90,83,Monday,10
380,0,1,70,67,Monday,12
381,0,2,50,42,Monday,12
382,0,3,70,69,Monday,12
383,1,2,50,46,Monday,12
384,1,7,50,46,Monday,12
385,2,5,110,94,Monday,12
386,3,4,60,54,Monday,12
387,3,10,130,99,Monday,12
388,4,5,100,72,Monday,12
389,4,6,90,68,Monday,12
390,5,8,70,57,Monday,12
391,5,12,120,104,Monday,12
392,6,7,90,64,Monday,12
393,7,9,60,59,Monday,12
394,8,9,130,92,Monday,12
395,9,11,50,36,Monday,12
396,9,13,50,37,Monday,12
397,10,11,100,83,Monday,12
398,10,13,90,82,Monday,12
399,11,12,50,38,Monday,12
400,0,1,130,118,Monday,14
401,0,2,70,60,Monday,14
402,0,3,80,66,Monday,14
403,1,2,100,70,Monday,14
404,1,7,70,67,Monday,14
405,2,5,140,108,Monday,14
406,3,4,60,50,Monday,14
407,3,10,130,129,Monday,14
408,4,5,70,69,Monday,14
409,4,6,70,63,Monday,14
410,5,8,110,104,Monday,14
411,5,12,60,52,Monday,14
412,6,7,100,84,Monday,14
413,7,9,80,70,Monday,14
414,8,9,140,125,Monday,14
415,9,11,70,63,Monday,14
416,9,13,50,47,Monday,14
417,10,11,70,66,Monday,14
418,10,13,120,115,Monday,14
419,11,12,140,98,Monday,14
420,0,1,60,46,Monday,16
421,0,2,110,80,Monday,16
422,0,3,80,56,Monday,16
423,1,2,50,49,Monday,16
424,1,7,140,113,Monday,16
425,2,5,120,106,Monday,16
426,3,4,110,106,Monday,16
427,3,10,80,62,Monday,16
428,4,5,90,89,Monday,16
429,4,6,80,65,Monday,16
430,5,8,130,124,Monday,16
431,5,12,100,94,Monday,16
432,6,7,80,67,Monday,16
433,7,9,100,95,Monday,16
434,8,9,80,77,Monday,16
435,9,11,50,44,Monday,16
436,9,13,120,109,Monday,16
437,10,11,100,74,Monday,16
438,10,13,70,56,Monday,16
439,11,12,120,108,Monday,16
440,0,1,50,36,Monday,18
441,0,2,70,61,Monday,18
442,0,3,60,51,Monday,18
443,1,2,80,66,Monday,18
444,1,7,120,114,Monday,18
445,2,5,130,96,Monday,18
446,3,4,80,68,Monday,18
447,3,10,50,36,Monday,18
448,4,5,130,129,Monday,18
449,4,6,140,137,Monday,18
450,5,8,70,61,Monday,18
451,5,12,50,40,Monday,18
452,6,7,50,44,Monday,18
453,7,9,90,79,Monday,18
454,8,9,110,109,Monday,18
455,9,11,120,118,Monday,18
456,9,13,110,105,Monday,18
457,10,11,140,133,Monday,18
458,10,13,50,43,Monday,18
459,11,12,70,62,Monday,18
460,0,1,100,68,Monday,20
461,0,2,50,35,Monday,20
462,0,3,130,78,Monday,20
463,1,2,90,54,Monday,20
464,1,7,60,30,Monday,20
465,2,5,60,41,Monday,20
466,3,4,140,107,Monday,20
467,3,10,110,74,Monday,20
468,4,5,50,29,Monday,20
469,4,6,80,42,Monday,20
470,5,8,50,37,Monday,20
471,5,12,60,39,Monday,20
472,6,7,100,72,Monday,20
473,7,9,140,109,Monday,20
474,8,9,130,78,Monday,20
475,9,11,120,93,Monday,20
476,9,13,60,33,Monday,20
477,10,11,80,50,Monday,20
478,10,13,130,92,Monday,20
479,11,12,110,55,Monday,20
480,0,1,110,79,Monday,22
481,0,2,70,55,Monday,22
482,0,3,130,78,Monday,22
483,1,2,140,90,Monday,22
484,1,7,110,75,Monday,22
485,2,5,60,47,Monday,22
486,3,4,100,57,Monday,22
487,3,10,60,36,Monday,22
488,4,5,90,54,Monday,22
489,4,6,90,70,Monday,22
490,5,8,140,74,Monday,22
491,5,12,70,37,Monday,22
492,6,7,110,66,Monday,22
493,7,9,80,60,Monday,22
494,8,9,60,47,Monday,22
495,9,11,110,81,Monday,22
496,9,13,80,53,Monday,22
497,10,11,120,93,Monday,22
498,10,13,140,85,Monday,22
499,11,12,90,58,Monday,22
500,0,1,90,47,Monday,24
501,0,2,140,91,Monday,24
502,0,3,70,48,Monday,24
503,1,2,50,27,Monday,24
504,1,7,60,39,Monday,24
505,2,5,140,105,Monday,24
506,3,4,140,106,Monday,24
507,3,10,70,48,Monday,24
508,4,5,80,50,Monday,24
509,4,6,140,76,Monday,24
510,5,8,100,73,Monday,24
511,5,12,60,31,Monday,24
512,6,7,120,68,Monday,24
513,7,9,130,69,Monday,24
514,8,9,100,56,Monday,24
515,9,11,120,84,Monday,24
516,9,13,80,62,Monday,24
517,10,11,140,100,Monday,24
518,10,13,60,30,Monday,24
519,11,12,80,61,Monday,24
520,0,1,70,38,Tuesday,0
521,0,2,60,40,Tuesday,0
522,0,3,70,46,Tuesday,0
523,1,2,140,76,Tuesday,0
524,1,7,140,98,Tuesday,0
525,2,5,100,76,Tuesday,0
526,3,4,70,52,Tuesday,0
527,3,10,140,110,Tuesday,0
528,4,5,60,41,Tuesday,0
529,4,6,60,32,Tuesday,0
530,5,8,80,46,Tuesday,0
531,5,12,100,61,Tuesday,0
532,6,7,70,49,Tuesday,0
533,7,9,60,37,Tuesday,0
534,8,9,110,84,Tuesday,0
535,9,11,110,55,Tuesday,0
536,9,13,60,41,Tuesday,0
537,10,11,70,35,Tuesday,0
538,10,13,120,84,Tuesday,0
539,11,12,100,73,Tuesday,0
540,0,1,60,45,Tuesday,2
541,0,2,90,45,Tuesday,2
542,0,3,60,45,Tuesday,2
543,1,2,100,74,Tuesday,2
544,1,7,80,50,Tuesday,2
545,2,5,110,64,Tuesday,2
546,3,4,90,60,Tuesday,2
547,3,10,60,33,Tuesday,2
548,4,5,90,58,Tuesday,2
549,4,6,100,77,Tuesday,2
550,5,8,60,46,Tuesday,2
551,5,12,110,58,Tuesday,2
552,6,7,80,53,Tuesday,2
553,7,9,80,48,Tuesday,2
554,8,9,60,34,Tuesday,2
555,9,11,90,48,Tuesday,2
556,9,13,130,95,Tuesday,2
557,10,11,110,66,Tuesday,2
558,10,13,130,89,Tuesday,2
559,11,12,80,42,Tuesday,2
560,0,1,120,82,Tuesday,4
561,0,2,70,37,Tuesday,4
562,0,3,50,38,Tuesday,4
563,1,2,70,46,Tuesday,4
564,1,7,50,25,Tuesday,4
565,2,5,90,62,Tuesday,4
566,3,4,120,84,Tuesday,4
567,3,10,130,70,Tuesday,4
568,4,5,50,28,Tuesday,4
569,4,6,80,54,Tuesday,4
570,5,8,50,32,Tuesday,4
571,5,12,130,70,Tuesday,4
572,6,7,90,64,Tuesday,4
573,7,9,120,92,Tuesday,4
574,8,9,50,25,Tuesday,4
575,9,11,70,47,Tuesday,4
576,9,13,130,92,Tuesday,4
577,10,11,140,111,Tuesday,4
578,10,13,140,110,Tuesday,4
579,11,12,140,72,Tuesday,4
580,0,1,80,40,Tuesday,6
581,0,2,110,81,Tuesday,6
582,0,3,110,79,Tuesday,6
583,1,2,50,38,Tuesday,6
584,1,7,70,45,Tuesday,6
585,2,5,70,44,Tuesday,6
586,3,4,80,53,Tuesday,6
587,3,10,60,41,Tuesday,6
588,4,5,80,52,Tuesday,6
589,4,6,110,67,Tuesday,6
590,5,8,90,49,Tuesday,6
591,5,12,120,83,Tuesday,6
592,6,7,90,45,Tuesday,6
593,7,9,60,35,Tuesday,6
594,8,9,120,64,Tuesday,6
595,9,11,60,42,Tuesday,6
596,9,13,50,39,Tuesday,6
597,10,11,110,64,Tuesday,6
598,10,13,80,60,Tuesday,6
599,11,12,50,36,Tuesday,6
600,0,1,120,80,Tuesday,8
601,0,2,140,99,Tuesday,8
602,0,3,70,49,Tuesday,8
603,1,2,80,42,Tuesday,8
604,1,7,100,69,Tuesday,8
605,2,5,50,25,Tuesday,8
606,3,4,70,48,Tuesday,8
607,3,10,60,38,Tuesday,8
608,4,5,70,55,Tuesday,8
609,4,6,100,60,Tuesday,8
610,5,8,80,44,Tuesday,8
611,5,12,90,61,Tuesday,8
612,6,7,130,70,Tuesday,8
613,7,9,90,48,Tuesday,8
614,8,9,60,42,Tuesday,8
615,9,11,100,59,Tuesday,8
616,9,13,100,79,Tuesday,8
617,10,11,120,95,Tuesday,8
618,10,13,140,98,Tuesday,8
619,11,12,80,58,Tuesday,8
620,0,1,70,57,Tuesday,10
621,0,2,50,43,Tuesday,10
622,0,3,50,46,Tuesday,10
623,1,2,110,85,Tuesday,10
624,1,7,80,71,Tuesday,10
625,2,5,50,35,Tuesday,10
626,3,4,50,47,Tuesday,10
627,3,10,80,69,Tuesday,10
628,4,5,80,72,Tuesday,10
629,4,6,140,113,Tuesday,10
630,5,8,90,64,Tuesday,10
631,5,12,130,106,Tuesday,10
632,6,7,50,46,Tuesday,10
633,7,9,110,99,Tuesday,10
634,8,9,50,43,Tuesday,10
635,9,11,90,77,Tuesday,10
636,9,13,120,90,Tuesday,10
637,10,11,60,53,Tuesday,10
638,10,13,140,131,Tuesday,10
639,11,12,90,85,Tuesday,10
640,0,1,140,136,Tuesday,12
641,0,2,110,101,Tuesday,12
642,0,3,90,68,Tuesday,12
643,1,2,140,102,Tuesday,12
644,1,7,120,87,Tuesday,12
645,2,5,80,72,Tuesday,12
646,3,4,140,122,Tuesday,12
647,3,10,60,58,Tuesday,12
648,4,5,90,89,Tuesday,12
649,4,6,130,114,Tuesday,12
650,5,8,110,85,Tuesday,12
651,5,12,120,106,Tuesday,12
652,6,7,60,57,Tuesday,12
653,7,9,50,44,Tuesday,12
654,8,9,140,111,Tuesday,12
655,9,11,140,127,Tuesday,12
656,9,13,50,35,Tuesday,12
657,10,11,60,45,Tuesday,12
658,10,13,100,98,Tuesday,12
659,11,12,70,60,Tuesday,12
660,0,1,100,78,Tuesday,14
661,0,2,90,78,Tuesday,14
662,0,3,70,52,Tuesday,14
663,1,2,90,71,Tuesday,14
664,1,7,50,45,Tuesday,14
665,2,5,90,75,Tuesday,14
666,3,4,70,69,Tuesday,14
667,3,10,80,78,Tuesday,14
668,4,5,90,81,Tuesday,14
669,4,6,120,95,Tuesday,14
670,5,8,140,106,Tuesday,14
671,5,12,140,101,Tuesday,14
672,6,7,100,87,Tuesday,14
673,7,9,60,42,Tuesday,14
674,8,9,120,86,Tuesday,14
675,9,11,140,129,Tuesday,14
676,9,13,50,35,Tuesday,14
677,10,11,140,124,Tuesday,14
678,10,13,60,55,Tuesday,14
679,11,12,130,119,Tuesday,14
680,0,1,140,134,Tuesday,16
681,0,2,80,73,Tuesday,16
682,0,3,60,44,Tuesday,16
683,1,2,140,103,Tuesday,16
684,1,7,50,36,Tuesday,16
685,2,5,120,103,Tuesday,16
686,3,4,130,125,Tuesday,16
687,3,10,60,50,Tuesday,16
688,4,5,60,54,Tuesday,16
689,4,6,90,71,Tuesday,16
690,5,8,120,103,Tuesday,16
691,5,12,90,63,Tuesday,16
692,6,7,100,86,Tuesday,16
693,7,9,120,113,Tuesday,16
694,8,9,110,86,Tuesday,16
695,9,11,80,64,Tuesday,16
696,9,13,100,89,Tuesday,16
697,10,11,80,70,Tuesday,16
698,10,13,60,46,Tuesday,16
699,11,12,100,72,Tuesday,16
700,0,1,110,105,Tuesday,18
701,0,2,140,131,Tuesday,18
702,0,3,110,88,Tuesday,18
703,1,2,80,60,Tuesday,18
704,1,7,120,94,Tuesday,18
705,2,5,130,119,Tuesday,18
706,3,4,140,120,Tuesday,18
707,3,10,50,37,Tuesday,18
708,4,5,110,94,Tuesday,18
709,4,6,140,129,Tuesday,18
710,5,8,130,125,Tuesday,18
711,5,12,80,73,Tuesday,18
712,6,7,80,77,Tuesday,18
713,7,9,70,62,Tuesday,18
714,8,9,130,107,Tuesday,18
715,9,11,100,79,Tuesday,18
716,9,13,140,104,Tuesday,18
717,10,11,80,64,Tuesday,18
718,10,13,110,99,Tuesday,18
719,11,12,130,107,Tuesday,18
720,0,1,120,65,Tuesday,20
721,0,2,60,33,Tuesday,20
722,0,3,100,53,Tuesday,20
723,1,2,60,39,Tuesday,20
724,1,7,140,81,Tuesday,20
725,2,5,50,37,Tuesday,20
726,3,4,130,89,Tuesday,20
727,3,10,70,55,Tuesday,20
728,4,5,100,73,Tuesday,20
729,4,6,90,48,Tuesday,20
730,5,8,110,76,Tuesday,20
731,5,12,60,39,Tuesday,20
732,6,7,60,39,Tuesday,20
733,7,9,100,63,Tuesday,20
734,8,9,110,59,Tuesday,20
735,9,11,60,39,Tuesday,20
736,9,13,60,35,Tuesday,20
737,10,11,50,26,Tuesday,20
738,10,13,130,91,Tuesday,20
739,11,12,60,44,Tuesday,20
740,0,1,110,59,Tuesday,22
741,0,2,80,53,Tuesday,22
742,0,3,50,34,Tuesday,22
743,1,2,130,83,Tuesday,22
744,1,7,60,46,Tuesday,22
745,2,5,100,79,Tuesday,22
746,3,4,100,52,Tuesday,22
747,3,10,120,84,Tuesday,22
748,4,5,60,35,Tuesday,22
749,4,6,80,43,Tuesday,22
750,5,8,140,104,Tuesday,22
751,5,12,60,32,Tuesday,22
752,6,7,130,89,Tuesday,22
753,7,9,110,62,Tuesday,22
754,8,9,90,54,Tuesday,22
755,9,11,130,94,Tuesday,22
756,9,13,110,57,Tuesday,22
757,10,11,80,56,Tuesday,22
758,10,13,70,47,Tuesday,22
759,11,12,70,41,Tuesday,22
760,0,1,100,78,Tuesday,24
761,0,2,130,69,Tuesday,24
762,0,3,70,44,Tuesday,24
763,1,2,50,38,Tuesday,24
764,1,7,120,79,Tuesday,24
765,2,5,120,95,Tuesday,24
766,3,4,140,110,Tuesday,24
767,3,10,130,81,Tuesday,24
768,4,5,90,50,Tuesday,24
769,4,6,90,59,Tuesday,24
770,5,8,120,85,Tuesday,24
771,5,12,140,76,Tuesday,24
772,6,7,70,54,Tuesday,24
773,7,9,80,54,Tuesday,24
774,8,9,60,44,Tuesday,24
775,9,11,80,44,Tuesday,24
776,9,13,80,45,Tuesday,24
777,10,11,60,44,Tuesday,24
778,10,13,90,64,Tuesday,24
779,11,12,120,70,Tuesday,24
780,0,1,120,66,Wednesday,0
781,0,2,90,63,Wednesday,0
782,0,3,90,65,Wednesday,0
783,1,2,100,72,Wednesday,0
784,1,7,50,33,Wednesday,0
785,2,5,130,72,Wednesday,0
786,3,4,80,40,Wednesday,0
787,3,10,100,68,Wednesday,0
788,4,5,140,100,Wednesday,0
789,4,6,120,93,Wednesday,0
790,5,8,140,88,Wednesday,0
791,5,12,140,91,Wednesday,0
792,6,7,50,39,Wednesday,0
793,7,9,90,49,Wednesday,0
794,8,9,130,91,Wednesday,0
795,9,11,90,58,Wednesday,0
796,9,13,100,74,Wednesday,0
797,10,11,70,44,Wednesday,0
798,10,13,80,63,Wednesday,0
799,11,12,50,25,Wednesday,0
800,0,1,120,70,Wednesday,2
801,0,2,90,58,Wednesday,2
802,0,3,90,58,Wednesday,2
803,1,2,140,99,Wednesday,2
804,1,7,100,79,Wednesday,2
805,2,5,130,97,Wednesday,2
806,3,4,100,72,Wednesday,2
807,3,10,140,70,Wednesday,2
808,4,5,70,53,Wednesday,2
809,4,6,120,60,Wednesday,2
810,5,8,130,95,Wednesday,2
811,5,12,120,83,Wednesday,2
812,6,7,50,28,Wednesday,2
813,7,9,130,65,Wednesday,2
814,8,9,120,67,Wednesday,2
