,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
116,116,9,13,50,25,Sunday,10,1.000
117,117,10,11,130,76,Sunday,10,0.855
118,118,10,13,50,19,Sunday,10,1.316
119,119,11,12,90,48,Sunday,10,0.938
120,120,0,1,70,38,Sunday,12,0.921
121,121,0,2,120,40,Sunday,12,1.500
122,122,0,3,60,28,Sunday,12,1.071
123,123,1,2,130,75,Sunday,12,0.867
124,124,1,7,110,49,Sunday,12,1.122
125,125,2,5,140,47,Sunday,12,1.489
126,126,3,4,50,25,Sunday,12,1.000
127,127,3,10,50,15,Sunday,12,1.667
128,128,4,5,50,18,Sunday,12,1.389
129,129,4,6,120,71,Sunday,12,0.845
130,130,5,8,90,33,Sunday,12,1.364
131,131,5,12,120,65,Sunday,12,0.923
132,132,6,7,70,27,Sunday,12,1.296
133,133,7,9,70,26,Sunday,12,1.346
134,134,8,9,60,31,Sunday,12,0.968
135,135,9,11,70,33,Sunday,12,1.061
136,136,9,13,90,36,Sunday,12,1.250
137,137,10,11,130,60,Sunday,12,1.083
138,138,10,13,120,64,Sunday,12,0.938
139,139,11,12,100,32,Sunday,12,1.562
140,140,0,1,140,75,Sunday,14,0.933
141,141,0,2,50,15,Sunday,14,1.667
142,142,0,3,70,41,Sunday,14,0.854
143,143,1,2,140,55,Sunday,14,1.273
144,144,1,7,90,34,Sunday,14,1.324
145,145,2,5,110,37,Sunday,14,1.486
146,146,3,4,140,69,Sunday,14,1.014
147,147,3,10,110,53,Sunday,14,1.038
148,148,4,5,90,49,Sunday,14,0.918
149,149,4,6,120,38,Sunday,14,1.579
150,150,5,8,120,69,Sunday,14,0.870
151,151,5,12,80,35,Sunday,14,1.143
152,152,6,7,80,27,Sunday,14,1.481
153,153,7,9,70,30,Sunday,14,1.167
154,154,8,9,100,41,Sunday,14,1.220
155,155,9,11,120,41,Sunday,14,1.463
156,156,9,13,110,38,Sunday,14,1.447
157,157,10,11,50,24,Sunday,14,1.042
158,158,10,13,60,24,Sunday,14,1.250
159,159,11,12,100,44,Sunday,14,1.136
160,160,0,1,50,29,Sunday,16,0.862
161,161,0,2,50,17,Sunday,16,1.471
162,162,0,3,60,26,Sunday,16,1.154
163,163,1,2,70,32,Sunday,16,1.094
164,164,1,7,110,62,Sunday,16,0.887
165,165,2,5,50,28,Sunday,16,0.893
166,166,3,4,130,46,Sunday,16,1.413
167,167,3,10,50,22,Sunday,16,1.136
168,168,4,5,80,30,Sunday,16,1.333
169,169,4,6,140,80,Sunday,16,0.875
170,170,5,8,120,57,Sunday,16,1.053
171,171,5,12,100,51,Sunday,16,0.980
172,172,6,7,110,52,Sunday,16,1.058
173,173,7,9,80,34,Sunday,16,1.176
174,174,8,9,90,47,Sunday,16,0.957
175,175,9,11,80,39,Sunday,16,1.026
176,176,9,13,50,29,Sunday,16,0.862
177,177,10,11,110,44,Sunday,16,1.250
178,178,10,13,110,38,Sunday,16,1.447
179,179,11,12,130,68,Sunday,16,0.956
180,180,0,1,60,34,Sunday,18,0.882
181,181,0,2,130,51,Sunday,18,1.275
182,182,0,3,80,42,Sunday,18,0.952
183,183,1,2,50,19,Sunday,18,1.316
184,184,1,7,110,44,Sunday,18,1.250
185,185,2,5,90,36,Sunday,18,1.250
186,186,3,4,50,18,Sunday,18,1.389
187,187,3,10,80,34,Sunday,18,1.176
188,188,4,5,60,19,Sunday,18,1.579
189,189,4,6,90,33,Sunday,18,1.364
190,190,5,8,80,40,Sunday,18,1.000
191,191,5,12,80,44,Sunday,18,0.909
192,192,6,7,60,18,Sunday,18,1.667
193,193,7,9,90,47,Sunday,18,0.957
194,194,8,9,130,63,Sunday,18,1.032
195,195,9,11,50,21,Sunday,18,1.190
196,196,9,13,60,23,Sunday,18,1.304
197,197,10,11,60,23,Sunday,18,1.304
198,198,10,13,130,75,Sunday,18,0.867
199,199,11,12,120,52,Sunday,18,1.154
200,200,0,1,90,9,Sunday,20,5.000
201,201,0,2,140,43,Sunday,20,1.628
202,202,0,3,120,27,Sunday,20,2.222
203,203,1,2,90,15,Sunday,20,3.000
204,204,1,7,50,18,Sunday,20,1.389
205,205,2,5,130,27,Sunday,20,2.407
206,206,3,4,110,12,Sunday,20,4.583
207,207,3,10,50,15,Sunday,20,1.667
208,208,4,5,100,17,Sunday,20,2.941
209,209,4,6,120,45,Sunday,20,1.333
210,210,5,8,50,17,Sunday,20,1.471
211,211,5,12,60,13,Sunday,20,2.308
212,212,6,7,70,18,Sunday,20,1.944
213,213,7,9,70,22,Sunday,20,1.591
214,214,8,9,50,15,Sunday,20,1.667
215,215,9,11,100,37,Sunday,20,1.351
216,216,9,13,120,43,Sunday,20,1.395
217,217,10,11,120,16,Sunday,20,3.750
218,218,10,13,80,24,Sunday,20,1.667
219,219,11,12,60,20,Sunday,20,1.500
220,220,0,1,70,8,Sunday,22,4.375
221,221,0,2,90,23,Sunday,22,1.957
222,222,0,3,100,29,Sunday,22,1.724
223,223,1,2,90,27,Sunday,22,1.667
224,224,1,7,60,20,Sunday,22,1.500
225,225,2,5,90,16,Sunday,22,2.812
226,226,3,4,140,46,Sunday,22,1.522
227,227,3,10,90,34,Sunday,22,1.324
228,228,4,5,130,21,Sunday,22,3.095
229,229,4,6,60,20,Sunday,22,1.500
230,230,5,8,120,32,Sunday,22,1.875
231,231,5,12,120,47,Sunday,22,1.277
232,232,6,7,70,22,Sunday,22,1.591
233,233,7,9,120,31,Sunday,22,1.935
234,234,8,9,110,42,Sunday,22,1.310
235,235,9,11,120,13,Sunday,22,4.615
236,236,9,13,140,21,Sunday,22,3.333
237,237,10,11,80,20,Sunday,22,2.000
238,238,10,13,90,30,Sunday,22,1.500
239,239,11,12,120,24,Sunday,22,2.500
240,240,0,1,90,32,Sunday,24,1.406
241,241,0,2,130,14,Sunday,24,4.643
242,242,0,3,90,13,Sunday,24,3.462
243,243,1,2,140,43,Sunday,24,1.628
244,244,1,7,50,13,Sunday,24,1.923
245,245,2,5,90,13,Sunday,24,3.462
246,246,3,4,80,28,Sunday,24,1.429
247,247,3,10,110,34,Sunday,24,1.618
248,248,4,5,110,33,Sunday,24,1.667
249,249,4,6,100,22,Sunday,24,2.273
250,250,5,8,120,17,Sunday,24,3.529
251,251,5,12,50,19,Sunday,24,1.316
252,252,6,7,50,12,Sunday,24,2.083
253,253,7,9,80,10,Sunday,24,4.000
254,254,8,9,50,7,Sunday,24,3.571
255,255,9,11,80,9,Sunday,24,4.444
256,256,9,13,80,11,Sunday,24,3.636
257,257,10,11,60,20,Sunday,24,1.500
258,258,10,13,130,15,Sunday,24,4.333
259,259,11,12,110,33,Sunday,24,1.667
260,260,0,1,100,79,Monday,0,0.633
261,261,0,2,80,44,Monday,0,0.909
262,262,0,3,90,69,Monday,0,0.652
263,263,1,2,130,85,Monday,0,0.765
264,264,1,7,110,71,Monday,0,0.775
265,265,2,5,120,89,Monday,0,0.674
266,266,3,4,100,75,Monday,0,0.667
267,267,3,10,50,36,Monday,0,0.694
268,268,4,5,70,39,Monday,0,0.897
269,269,4,6,130,65,Monday,0,1.000
270,270,5,8,70,55,Monday,0,0.636
271,271,5,12,110,76,Monday,0,0.724
272,272,6,7,50,31,Monday,0,0.806
273,273,7,9,80,45,Monday,0,0.889
274,274,8,9,140,91,Monday,0,0.769
275,275,9,11,70,40,Monday,0,0.875
276,276,9,13,130,65,Monday,0,1.000
277,277,10,11,120,88,Monday,0,0.682
278,278,10,13,70,47,Monday,0,0.745
279,279,11,12,130,87,Monday,0,0.747
280,280,0,1,100,74,Monday,2,0.676
281,281,0,2,60,34,Monday,2,0.882
282,282,0,3,140,78,Monday,2,0.897
283,283,1,2,50,26,Monday,2,0.962
284,284,1,7,120,60,Monday,2,1.000
285,285,2,5,110,84,Monday,2,0.655
286,286,3,4,120,90,Monday,2,0.667
287,287,3,10,140,99,Monday,2,0.707
288,288,4,5,120,80,Monday,2,0.750
289,289,4,6,50,27,Monday,2,0.926
290,290,5,8,100,67,Monday,2,0.746
291,291,5,12,140,91,Monday,2,0.769
292,292,6,7,90,61,Monday,2,0.738
293,293,7,9,120,82,Monday,2,0.732
294,294,8,9,60,36,Monday,2,0.833
295,295,9,11,120,71,Monday,2,0.845
296,296,9,13,110,60,Monday,2,0.917
297,297,10,11,140,101,Monday,2,0.693
298,298,10,13,70,51,Monday,2,0.686
299,299,11,12,120,64,Monday,2,0.938
300,300,0,1,100,58,Monday,4,0.862
301,301,0,2,50,25,Monday,4,1.000
302,302,0,3,80,57,Monday,4,0.702
303,303,1,2,90,60,Monday,4,0.750
304,304,1,7,60,45,Monday,4,0.667
305,305,2,5,100,75,Monday,4,0.667
306,306,3,4,120,91,Monday,4,0.659
307,307,3,10,120,92,Monday,4,0.652
308,308,4,5,60,38,Monday,4,0.789
309,309,4,6,60,34,Monday,4,0.882
310,310,5,8,90,46,Monday,4,0.978
311,311,5,12,120,76,Monday,4,0.789
312,312,6,7,80,52,Monday,4,0.769
313,313,7,9,70,38,Monday,4,0.921
314,314,8,9,120,70,Monday,4,0.857
315,315,9,11,110,67,Monday,4,0.821
316,316,9,13,130,99,Monday,4,0.657
317,317,10,11,60,47,Monday,4,0.638
318,318,10,13,110,59,Monday,4,0.932
319,319,11,12,130,68,Monday,4,0.956
320,320,0,1,50,36,Monday,6,0.694
321,321,0,2,80,59,Monday,6,0.678
322,322,0,3,120,92,Monday,6,0.652
323,323,1,2,50,25,Monday,6,1.000
324,324,1,7,100,79,Monday,6,0.633
325,325,2,5,90,62,Monday,6,0.726
326,326,3,4,90,65,Monday,6,0.692
327,327,3,10,50,29,Monday,6,0.862
328,328,4,5,110,60,Monday,6,0.917
329,329,4,6,90,60,Monday,6,0.750
330,330,5,8,60,32,Monday,6,0.938
331,331,5,12,50,35,Monday,6,0.714
332,332,6,7,70,37,Monday,6,0.946
333,333,7,9,80,40,Monday,6,1.000
334,334,8,9,120,69,Monday,6,0.870
335,335,9,11,90,62,Monday,6,0.726
336,336,9,13,50,37,Monday,6,0.676
337,337,10,11,90,45,Monday,6,1.000
338,338,10,13,110,79,Monday,6,0.696
339,339,11,12,130,87,Monday,6,0.747
340,340,0,1,120,62,Monday,8,0.968
341,341,0,2,60,41,Monday,8,0.732
342,342,0,3,120,65,Monday,8,0.923
343,343,1,2,130,102,Monday,8,0.637
344,344,1,7,60,35,Monday,8,0.857
345,345,2,5,50,30,Monday,8,0.833
346,346,3,4,120,66,Monday,8,0.909
347,347,3,10,70,47,Monday,8,0.745
348,348,4,5,120,65,Monday,8,0.923
349,349,4,6,50,28,Monday,8,0.893
350,350,5,8,90,49,Monday,8,0.918
351,351,5,12,140,84,Monday,8,0.833
352,352,6,7,110,68,Monday,8,0.809
353,353,7,9,60,31,Monday,8,0.968
354,354,8,9,70,50,Monday,8,0.700
355,355,9,11,60,45,Monday,8,0.667
356,356,9,13,130,86,Monday,8,0.756
357,357,10,11,70,38,Monday,8,0.921
358,358,10,13,120,64,Monday,8,0.938
359,359,11,12,120,94,Monday,8,0.638
360,360,0,1,110,77,Monday,10,0.714
361,361,0,2,130,102,Monday,10,0.637
362,362,0,3,100,75,Monday,10,0.667
363,363,1,2,90,85,Monday,10,0.529
364,364,1,7,120,102,Monday,10,0.588
365,365,2,5,110,81,Monday,10,0.679
366,366,3,4,80,62,Monday,10,0.645
367,367,3,10,70,57,Monday,10,0.614
368,368,4,5,80,75,Monday,10,0.533
369,369,4,6,60,59,Monday,10,0.508
370,370,5,8,50,45,Monday,10,0.556
371,371,5,12,70,49,Monday,10,0.714
372,372,6,7,100,79,Monday,10,0.633
373,373,7,9,100,81,Monday,10,0.617
374,374,8,9,140,109,Monday,10,0.642
375,375,9,11,50,49,Monday,10,0.510
376,376,9,13,110,83,Monday,10,0.663
377,377,10,11,90,88,Monday,10,0.511
378,378,10,13,80,76,Monday,10,0.526
379,379,11,12,140,107,Monday,10,0.654
380,380,0,1,140,131,Monday,12,0.534
381,381,0,2,110,99,Monday,12,0.556
382,382,0,3,120,94,Monday,12,0.638
383,383,1,2,50,45,Monday,12,0.556
384,384,1,7,60,42,Monday,12,0.714
385,385,2,5,70,56,Monday,12,0.625
386,386,3,4,100,99,Monday,12,0.505
387,387,3,10,110,77,Monday,12,0.714
388,388,4,5,100,81,Monday,12,0.617
389,389,4,6,110,97,Monday,12,0.567
390,390,5,8,120,85,Monday,12,0.706
391,391,5,12,90,83,Monday,12,0.542
392,392,6,7,110,87,Monday,12,0.632
393,393,7,9,90,80,Monday,12,0.562
394,394,8,9,120,86,Monday,12,0.698
395,395,9,11,70,67,Monday,12,0.522
396,396,9,13,80,72,Monday,12,0.556
397,397,10,11,80,73,Monday,12,0.548
398,398,10,13,140,124,Monday,12,0.565
399,399,11,12,100,87,Monday,12,0.575
400,400,0,1,50,44,Monday,14,0.568
401,401,0,2,100,77,Monday,14,0.649
402,402,0,3,100,85,Monday,14,0.588
403,403,1,2,60,48,Monday,14,0.625
404,404,1,7,50,38,Monday,14,0.658
405,405,2,5,120,111,Monday,14,0.541
406,406,3,4,100,81,Monday,14,0.617
407,407,3,10,60,54,Monday,14,0.556
408,408,4,5,70,65,Monday,14,0.538
409,409,4,6,110,88,Monday,14,0.625
410,410,5,8,120,90,Monday,14,0.667
411,411,5,12,50,41,Monday,14,0.610
412,412,6,7,140,113,Monday,14,0.619
413,413,7,9,100,88,Monday,14,0.568
414,414,8,9,140,139,Monday,14,0.504
415,415,9,11,50,46,Monday,14,0.543
416,416,9,13,100,72,Monday,14,0.694
417,417,10,11,70,50,Monday,14,0.700
418,418,10,13,120,103,Monday,14,0.583
419,419,11,12,80,71,Monday,14,0.563
420,420,0,1,60,56,Monday,16,0.536
421,421,0,2,130,127,Monday,16,0.512
422,422,0,3,140,137,Monday,16,0.511
423,423,1,2,100,95,Monday,16,0.526
424,424,1,7,90,76,Monday,16,0.592
425,425,2,5,140,115,Monday,16,0.609
426,426,3,4,130,91,Monday,16,0.714
427,427,3,10,130,103,Monday,16,0.631
428,428,4,5,140,116,Monday,16,0.603
429,429,4,6,90,71,Monday,16,0.634
430,430,5,8,60,50,Monday,16,0.600
431,431,5,12,90,78,Monday,16,0.577
432,432,6,7,80,57,Monday,16,0.702
433,433,7,9,110,94,Monday,16,0.585
434,434,8,9,60,48,Monday,16,0.625
435,435,9,11,120,91,Monday,16,0.659
436,436,9,13,90,65,Monday,16,0.692
437,437,10,11,70,68,Monday,16,0.515
438,438,10,13,50,49,Monday,16,0.510
439,439,11,12,50,42,Monday,16,0.595
440,440,0,1,90,89,Monday,18,0.506
441,441,0,2,70,55,Monday,18,0.636
442,442,0,3,90,80,Monday,18,0.562
443,443,1,2,80,61,Monday,18,0.656
444,444,1,7,140,131,Monday,18,0.534
445,445,2,5,120,86,Monday,18,0.698
446,446,3,4,80,73,Monday,18,0.548
447,447,3,10,120,105,Monday,18,0.571
448,448,4,5,70,64,Monday,18,0.547
449,449,4,6,50,49,Monday,18,0.510
450,450,5,8,140,107,Monday,18,0.654
451,451,5,12,60,47,Monday,18,0.638
452,452,6,7,100,86,Monday,18,0.581
453,453,7,9,110,88,Monday,18,0.625
454,454,8,9,120,106,Monday,18,0.566
455,455,9,11,90,69,Monday,18,0.652
456,456,9,13,70,68,Monday,18,0.515
457,457,10,11,130,120,Monday,18,0.542
458,458,10,13,60,43,Monday,18,0.698
459,459,11,12,100,78,Monday,18,0.641
460,460,0,1,70,45,Monday,20,0.778
461,461,0,2,90,59,Monday,20,0.763
462,462,0,3,130,68,Monday,20,0.956
463,463,1,2,120,84,Monday,20,0.714
464,464,1,7,110,74,Monday,20,0.743
465,465,2,5,90,55,Monday,20,0.818
466,466,3,4,120,70,Monday,20,0.857
467,467,3,10,120,70,Monday,20,0.857
468,468,4,5,50,25,Monday,20,1.000
469,469,4,6,120,88,Monday,20,0.682
470,470,5,8,90,59,Monday,20,0.763
471,471,5,12,120,65,Monday,20,0.923
472,472,6,7,100,70,Monday,20,0.714
473,473,7,9,90,53,Monday,20,0.849
474,474,8,9,60,43,Monday,20,0.698
475,475,9,11,110,55,Monday,20,1.000
476,476,9,13,140,82,Monday,20,0.854
477,477,10,11,60,45,Monday,20,0.667
478,478,10,13,60,43,Monday,20,0.698
479,479,11,12,50,29,Monday,20,0.862
480,480,0,1,110,67,Monday,22,0.821
481,481,0,2,130,77,Monday,22,0.844
482,482,0,3,90,60,Monday,22,0.750
483,483,1,2,80,58,Monday,22,0.690
484,484,1,7,110,78,Monday,22,0.705
485,485,2,5,110,57,Monday,22,0.965
486,486,3,4,140,101,Monday,22,0.693
487,487,3,10,130,78,Monday,22,0.833
488,488,4,5,100,75,Monday,22,0.667
489,489,4,6,130,83,Monday,22,0.783
490,490,5,8,130,68,Monday,22,0.956
491,491,5,12,70,39,Monday,22,0.897
492,492,6,7,110,81,Monday,22,0.679
493,493,7,9,100,52,Monday,22,0.962
494,494,8,9,120,80,Monday,22,0.750
495,495,9,11,50,32,Monday,22,0.781
496,496,9,13,100,51,Monday,22,0.980
497,497,10,11,90,54,Monday,22,0.833
498,498,10,13,100,78,Monday,22,0.641
499,499,11,12,120,71,Monday,22,0.845
500,500,0,1,80,51,Monday,24,0.784
501,501,0,2,50,30,Monday,24,0.833
502,502,0,3,140,104,Monday,24,0.673
503,503,1,2,80,51,Monday,24,0.784
504,504,1,7,80,43,Monday,24,0.930
505,505,2,5,140,98,Monday,24,0.714
506,506,3,4,90,59,Monday,24,0.763
507,507,3,10,120,63,Monday,24,0.952
508,508,4,5,110,70,Monday,24,0.786
509,509,4,6,90,46,Monday,24,0.978
510,510,5,8,90,68,Monday,24,0.662
511,511,5,12,60,32,Monday,24,0.938
512,512,6,7,60,34,Monday,24,0.882
513,513,7,9,90,50,Monday,24,0.900
514,514,8,9,80,63,Monday,24,0.635
515,515,9,11,100,70,Monday,24,0.714
516,516,9,13,90,71,Monday,24,0.634
517,517,10,11,50,27,Monday,24,0.926
518,518,10,13,110,83,Monday,24,0.663
519,519,11,12,50,36,Monday,24,0.694
520,520,0,1,70,46,Tuesday,0,0.761
521,521,0,2,130,66,Tuesday,0,0.985
522,522,0,3,70,41,Tuesday,0,0.854
523,523,1,2,50,29,Tuesday,0,0.862
524,524,1,7,90,51,Tuesday,0,0.882
525,525,2,5,80,54,Tuesday,0,0.741
526,526,3,4,60,42,Tuesday,0,0.714
527,527,3,10,140,106,Tuesday,0,0.660
528,528,4,5,70,46,Tuesday,0,0.761
529,529,4,6,110,78,Tuesday,0,0.705
530,530,5,8,110,72,Tuesday,0,0.764
531,531,5,12,60,34,Tuesday,0,0.882
532,532,6,7,60,38,Tuesday,0,0.789
533,533,7,9,140,70,Tuesday,0,1.000
534,534,8,9,80,58,Tuesday,0,0.690
535,535,9,11,60,34,Tuesday,0,0.882
536,536,9,13,140,79,Tuesday,0,0.886
537,537,10,11,100,50,Tuesday,0,1.000
538,538,10,13,80,60,Tuesday,0,0.667
539,539,11,12,140,97,Tuesday,0,0.722
540,540,0,1,120,61,Tuesday,2,0.984
541,541,0,2,100,57,Tuesday,2,0.877
542,542,0,3,110,59,Tuesday,2,0.932
543,543,1,2,80,44,Tuesday,2,0.909
544,544,1,7,100,66,Tuesday,2,0.758
545,545,2,5,90,68,Tuesday,2,0.662
546,546,3,4,50,32,Tuesday,2,0.781
547,547,3,10,110,63,Tuesday,2,0.873
548,548,4,5,140,98,Tuesday,2,0.714
549,549,4,6,120,72,Tuesday,2,0.833
550,550,5,8,120,91,Tuesday,2,0.659
551,551,5,12,80,47,Tuesday,2,0.851
552,552,6,7,130,87,Tuesday,2,0.747
553,553,7,9,90,69,Tuesday,2,0.652
554,554,8,9,140,107,Tuesday,2,0.654
555,555,9,11,110,72,Tuesday,2,0.764
556,556,9,13,70,35,Tuesday,2,1.000
557,557,10,11,80,53,Tuesday,2,0.755
558,558,10,13,60,42,Tuesday,2,0.714
559,559,11,12,130,87,Tuesday,2,0.747
560,560,0,1,50,35,Tuesday,4,0.714
561,561,0,2,80,42,Tuesday,4,0.952
562,562,0,3,50,38,Tuesday,4,0.658
563,563,1,2,60,39,Tuesday,4,0.769
564,564,1,7,110,77,Tuesday,4,0.714
565,565,2,5,70,42,Tuesday,4,0.833
566,566,3,4,50,27,Tuesday,4,0.926
567,567,3,10,60,33,Tuesday,4,0.909
568,568,4,5,140,87,Tuesday,4,0.805
569,569,4,6,100,55,Tuesday,4,0.909
570,570,5,8,70,43,Tuesday,4,0.814
571,571,5,12,120,68,Tuesday,4,0.882
572,572,6,7,110,76,Tuesday,4,0.724
573,573,7,9,100,68,Tuesday,4,0.735
574,574,8,9,130,82,Tuesday,4,0.793
575,575,9,11,70,55,Tuesday,4,0.636
576,576,9,13,110,81,Tuesday,4,0.679
577,577,10,11,110,84,Tuesday,4,0.655
578,578,10,13,60,45,Tuesday,4,0.667
579,579,11,12,130,77,Tuesday,4,0.844
580,580,0,1,140,72,Tuesday,6,0.972
581,581,0,2,110,71,Tuesday,6,0.775
582,582,0,3,90,55,Tuesday,6,0.818
583,583,1,2,110,81,Tuesday,6,0.679
584,584,1,7,90,49,Tuesday,6,0.918
585,585,2,5,110,81,Tuesday,6,0.679
586,586,3,4,50,32,Tuesday,6,0.781
587,587,3,10,80,45,Tuesday,6,0.889
588,588,4,5,130,93,Tuesday,6,0.699
589,589,4,6,120,95,Tuesday,6,0.632
590,590,5,8,130,80,Tuesday,6,0.812
591,591,5,12,50,26,Tuesday,6,0.962
592,592,6,7,50,31,Tuesday,6,0.806
593,593,7,9,70,43,Tuesday,6,0.814
594,594,8,9,140,109,Tuesday,6,0.642
595,595,9,11,110,82,Tuesday,6,0.671
596,596,9,13,140,76,Tuesday,6,0.921
597,597,10,11,80,58,Tuesday,6,0.690
598,598,10,13,80,54,Tuesday,6,0.741
599,599,11,12,100,61,Tuesday,6,0.820
600,600,0,1,140,107,Tuesday,8,0.654
601,601,0,2,60,31,Tuesday,8,0.968
602,602,0,3,70,50,Tuesday,8,0.700
603,603,1,2,100,50,Tuesday,8,1.000
604,604,1,7,70,37,Tuesday,8,0.946
605,605,2,5,120,84,Tuesday,8,0.714
606,606,3,4,120,62,Tuesday,8,0.968
607,607,3,10,130,68,Tuesday,8,0.956
608,608,4,5,130,75,Tuesday,8,0.867
609,609,4,6,130,83,Tuesday,8,0.783
610,610,5,8,70,50,Tuesday,8,0.700
