,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
189,189,4,6,60,22,Sunday,18,1.3640000000000003
190,190,5,8,90,29,Sunday,18,1.5396999999999998
191,191,5,12,90,46,Sunday,18,0.978
192,192,6,7,100,50,Sunday,18,1.0
193,193,7,9,130,58,Sunday,18,1.1191000000000002
194,194,8,9,80,47,Sunday,18,0.8556000000000001
195,195,9,11,130,72,Sunday,18,0.8910000000000002
196,196,9,13,50,18,Sunday,18,1.3889999999999998
197,197,10,11,60,20,Sunday,18,1.5
198,198,10,13,110,42,Sunday,18,1.3103000000000002
199,199,11,12,120,64,Sunday,18,0.9365
200,200,0,1,80,20,Sunday,20,2.0
201,201,0,2,50,16,Sunday,20,1.5619999999999998
202,202,0,3,80,27,Sunday,20,1.5088
203,203,1,2,130,42,Sunday,20,1.5340000000000003
204,204,1,7,140,16,Sunday,20,4.375
205,205,2,5,60,21,Sunday,20,1.429
206,206,3,4,80,21,Sunday,20,1.9049999999999998
207,207,3,10,80,9,Sunday,20,4.6664
208,208,4,5,60,18,Sunday,20,1.6669999999999998
209,209,4,6,140,52,Sunday,20,1.3561
210,210,5,8,80,22,Sunday,20,1.8101000000000007
211,211,5,12,50,13,Sunday,20,1.9230000000000005
212,212,6,7,90,34,Sunday,20,1.3660999999999999
213,213,7,9,100,31,Sunday,20,1.5665
214,214,8,9,140,21,Sunday,20,3.3329999999999993
215,215,9,11,90,12,Sunday,20,3.7841
216,216,9,13,140,42,Sunday,20,1.671
217,217,10,11,120,24,Sunday,20,2.4917000000000002
218,218,10,13,140,17,Sunday,20,4.118000000000001
219,219,11,12,140,39,Sunday,20,1.8067
220,220,0,1,70,8,Sunday,22,4.375
221,221,0,2,90,18,Sunday,22,2.4868
222,222,0,3,60,15,Sunday,22,2.0
223,223,1,2,60,22,Sunday,22,1.3640000000000003
224,224,1,7,130,50,Sunday,22,1.2925000000000002
225,225,2,5,140,26,Sunday,22,2.6820999999999997
226,226,3,4,70,19,Sunday,22,1.8522000000000003
227,227,3,10,140,31,Sunday,22,2.2155
228,228,4,5,140,41,Sunday,22,1.6990000000000003
229,229,4,6,60,22,Sunday,22,1.3640000000000003
230,230,5,8,110,17,Sunday,22,3.2373999999999996
231,231,5,12,90,11,Sunday,22,4.0978
232,232,6,7,140,14,Sunday,22,5.0
233,233,7,9,70,26,Sunday,22,1.3359999999999999
234,234,8,9,60,15,Sunday,22,2.0
235,235,9,11,60,17,Sunday,22,1.7650000000000001
236,236,9,13,90,29,Sunday,22,1.5163999999999997
237,237,10,11,130,15,Sunday,22,4.3373
238,238,10,13,110,21,Sunday,22,2.6189999999999998
239,239,11,12,80,27,Sunday,22,1.4933
240,240,0,1,80,17,Sunday,24,2.3399000000000005
241,241,0,2,140,16,Sunday,24,4.3124
242,242,0,3,90,14,Sunday,24,3.2139999999999995
243,243,1,2,60,7,Sunday,24,4.3574
244,244,1,7,70,21,Sunday,24,1.6669999999999998
245,245,2,5,50,15,Sunday,24,1.6669999999999998
246,246,3,4,100,33,Sunday,24,1.5311
247,247,3,10,140,41,Sunday,24,1.703
248,248,4,5,60,22,Sunday,24,1.3640000000000003
249,249,4,6,80,16,Sunday,24,2.5020000000000002
250,250,5,8,90,15,Sunday,24,3.0332999999999997
251,251,5,12,110,32,Sunday,24,1.6926999999999999
252,252,6,7,120,37,Sunday,24,1.6794999999999998
253,253,7,9,60,20,Sunday,24,1.5
254,254,8,9,140,15,Sunday,24,4.608600000000001
255,255,9,11,110,20,Sunday,24,2.75
256,256,9,13,90,25,Sunday,24,1.8000000000000003
257,257,10,11,70,24,Sunday,24,1.4644000000000001
258,258,10,13,50,6,Sunday,24,4.167000000000001
259,259,11,12,120,30,Sunday,24,1.9901999999999997
260,260,0,1,80,61,Monday,0,0.6559999999999998
261,261,0,2,110,72,Monday,0,0.7640000000000001
262,262,0,3,70,45,Monday,0,0.7780000000000002
263,263,1,2,140,95,Monday,0,0.737
264,264,1,7,100,58,Monday,0,0.8619999999999999
265,265,2,5,80,63,Monday,0,0.6349999999999999
266,266,3,4,60,42,Monday,0,0.7140000000000002
267,267,3,10,50,25,Monday,0,1.0
268,268,4,5,110,62,Monday,0,0.8870000000000001
269,269,4,6,80,49,Monday,0,0.8160000000000001
270,270,5,8,100,60,Monday,0,0.833
271,271,5,12,70,49,Monday,0,0.7140000000000002
272,272,6,7,80,46,Monday,0,0.8699999999999999
273,273,7,9,90,64,Monday,0,0.7030000000000001
274,274,8,9,110,82,Monday,0,0.671
275,275,9,11,50,34,Monday,0,0.7350000000000001
276,276,9,13,100,67,Monday,0,0.7460000000000001
277,277,10,11,100,53,Monday,0,0.9429999999999998
278,278,10,13,130,103,Monday,0,0.6310000000000001
279,279,11,12,100,57,Monday,0,0.877
280,280,0,1,140,103,Monday,2,0.6799999999999999
281,281,0,2,100,62,Monday,2,0.8059999999999998
282,282,0,3,90,48,Monday,2,0.938
283,283,1,2,80,59,Monday,2,0.6779999999999999
284,284,1,7,100,76,Monday,2,0.6579999999999998
285,285,2,5,140,84,Monday,2,0.833
286,286,3,4,80,44,Monday,2,0.9090000000000001
287,287,3,10,110,68,Monday,2,0.8089999999999999
288,288,4,5,110,87,Monday,2,0.6319999999999999
289,289,4,6,120,66,Monday,2,0.9090000000000001
290,290,5,8,120,88,Monday,2,0.6812000000000001
291,291,5,12,70,54,Monday,2,0.6479999999999999
292,292,6,7,110,79,Monday,2,0.6959999999999998
293,293,7,9,130,76,Monday,2,0.8550000000000002
294,294,8,9,140,92,Monday,2,0.7609999999999999
295,295,9,11,130,79,Monday,2,0.8219000000000001
296,296,9,13,140,102,Monday,2,0.6853999999999999
297,297,10,11,140,80,Monday,2,0.8728
298,298,10,13,110,71,Monday,2,0.7750000000000001
299,299,11,12,60,30,Monday,2,1.0
300,300,0,1,140,80,Monday,4,0.8739000000000001
301,301,0,2,100,50,Monday,4,1.0
302,302,0,3,70,35,Monday,4,1.0
303,303,1,2,130,85,Monday,4,0.7658999999999999
304,304,1,7,110,83,Monday,4,0.663
305,305,2,5,140,74,Monday,4,0.946
306,306,3,4,100,67,Monday,4,0.7460000000000001
307,307,3,10,60,36,Monday,4,0.833
308,308,4,5,70,43,Monday,4,0.8140000000000001
309,309,4,6,110,56,Monday,4,0.9873999999999998
310,310,5,8,70,46,Monday,4,0.7609999999999999
311,311,5,12,80,61,Monday,4,0.6559999999999998
312,312,6,7,50,29,Monday,4,0.8619999999999999
313,313,7,9,70,38,Monday,4,0.9209999999999997
314,314,8,9,80,56,Monday,4,0.7140000000000002
315,315,9,11,60,32,Monday,4,0.9380000000000001
316,316,9,13,140,80,Monday,4,0.8739000000000001
317,317,10,11,100,67,Monday,4,0.7460000000000001
318,318,10,13,100,73,Monday,4,0.6850000000000002
319,319,11,12,50,39,Monday,4,0.6409999999999999
320,320,0,1,100,66,Monday,6,0.758
321,321,0,2,120,61,Monday,6,0.9840000000000002
322,322,0,3,110,79,Monday,6,0.6959999999999998
323,323,1,2,50,25,Monday,6,1.0
324,324,1,7,60,41,Monday,6,0.732
325,325,2,5,110,62,Monday,6,0.8870000000000001
326,326,3,4,100,55,Monday,6,0.9090000000000001
327,327,3,10,100,73,Monday,6,0.6850000000000002
328,328,4,5,110,81,Monday,6,0.679
329,329,4,6,110,62,Monday,6,0.8870000000000001
330,330,5,8,140,82,Monday,6,0.8550000000000001
331,331,5,12,120,83,Monday,6,0.723
332,332,6,7,130,66,Monday,6,0.9850000000000001
333,333,7,9,80,44,Monday,6,0.9090000000000001
334,334,8,9,90,51,Monday,6,0.8819999999999999
335,335,9,11,70,40,Monday,6,0.875
336,336,9,13,80,43,Monday,6,0.9299999999999999
337,337,10,11,80,58,Monday,6,0.6899999999999998
338,338,10,13,60,45,Monday,6,0.6669999999999999
339,339,11,12,60,47,Monday,6,0.638
340,340,0,1,70,44,Monday,8,0.795
341,341,0,2,50,38,Monday,8,0.658
342,342,0,3,50,36,Monday,8,0.6940000000000001
343,343,1,2,110,74,Monday,8,0.7430000000000001
344,344,1,7,50,26,Monday,8,0.962
345,345,2,5,50,25,Monday,8,1.0
346,346,3,4,70,43,Monday,8,0.8140000000000001
347,347,3,10,50,30,Monday,8,0.833
348,348,4,5,120,70,Monday,8,0.857
349,349,4,6,130,88,Monday,8,0.739
350,350,5,8,120,79,Monday,8,0.7590000000000001
351,351,5,12,110,70,Monday,8,0.7892999999999999
352,352,6,7,130,74,Monday,8,0.8779999999999999
353,353,7,9,70,42,Monday,8,0.833
354,354,8,9,140,78,Monday,8,0.897
355,355,9,11,80,44,Monday,8,0.9090000000000001
356,356,9,13,70,38,Monday,8,0.9209999999999997
357,357,10,11,110,86,Monday,8,0.6399999999999999
358,358,10,13,80,57,Monday,8,0.7020000000000001
359,359,11,12,60,40,Monday,8,0.75
360,360,0,1,60,56,Monday,10,0.5359999999999999
361,361,0,2,100,98,Monday,10,0.5099999999999999
362,362,0,3,120,86,Monday,10,0.6979999999999998
363,363,1,2,60,50,Monday,10,0.5999999999999999
364,364,1,7,50,48,Monday,10,0.521
365,365,2,5,90,71,Monday,10,0.6340000000000001
366,366,3,4,140,132,Monday,10,0.5300000000000001
367,367,3,10,120,98,Monday,10,0.612
368,368,4,5,60,59,Monday,10,0.508
369,369,4,6,90,83,Monday,10,0.5419999999999999
370,370,5,8,100,77,Monday,10,0.6498999999999999
371,371,5,12,120,99,Monday,10,0.606
372,372,6,7,80,62,Monday,10,0.645
373,373,7,9,50,35,Monday,10,0.7140000000000002
374,374,8,9,120,105,Monday,10,0.571
375,375,9,11,90,64,Monday,10,0.7030000000000002
376,376,9,13,130,112,Monday,10,0.58
377,377,10,11,90,68,Monday,10,0.662
378,378,10,13,140,100,Monday,10,0.7
379,379,11,12,70,66,Monday,10,0.5300000000000001
380,380,0,1,100,99,Monday,12,0.505
381,381,0,2,100,93,Monday,12,0.5389999999999999
382,382,0,3,130,123,Monday,12,0.5280000000000001
383,383,1,2,120,93,Monday,12,0.6443
384,384,1,7,130,125,Monday,12,0.5199999999999999
385,385,2,5,130,102,Monday,12,0.637
386,386,3,4,70,66,Monday,12,0.5300000000000001
387,387,3,10,60,52,Monday,12,0.5770000000000001
388,388,4,5,130,102,Monday,12,0.637
389,389,4,6,80,79,Monday,12,0.5060000000000001
390,390,5,8,140,113,Monday,12,0.6189999999999999
391,391,5,12,140,99,Monday,12,0.7070000000000001
392,392,6,7,70,64,Monday,12,0.5469999999999999
393,393,7,9,140,105,Monday,12,0.6669999999999999
394,394,8,9,60,47,Monday,12,0.638
395,395,9,11,60,42,Monday,12,0.7140000000000003
396,396,9,13,80,60,Monday,12,0.6669999999999999
397,397,10,11,80,64,Monday,12,0.625
398,398,10,13,120,108,Monday,12,0.556
399,399,11,12,140,98,Monday,12,0.7140000000000002
400,400,0,1,70,66,Monday,14,0.5300000000000001
401,401,0,2,110,89,Monday,14,0.6187000000000001
402,402,0,3,80,65,Monday,14,0.6150000000000001
403,403,1,2,60,45,Monday,14,0.6669999999999999
404,404,1,7,90,87,Monday,14,0.5170000000000001
405,405,2,5,110,77,Monday,14,0.7140000000000002
406,406,3,4,50,48,Monday,14,0.521
407,407,3,10,140,99,Monday,14,0.7070000000000001
408,408,4,5,70,56,Monday,14,0.625
409,409,4,6,60,52,Monday,14,0.5770000000000001
410,410,5,8,110,98,Monday,14,0.5605
411,411,5,12,130,121,Monday,14,0.537
412,412,6,7,110,80,Monday,14,0.6879999999999998
413,413,7,9,90,67,Monday,14,0.6719999999999999
414,414,8,9,120,114,Monday,14,0.5259999999999999
415,415,9,11,80,72,Monday,14,0.556
416,416,9,13,60,55,Monday,14,0.545
417,417,10,11,50,42,Monday,14,0.5949999999999999
418,418,10,13,60,44,Monday,14,0.6820000000000002
419,419,11,12,140,125,Monday,14,0.5605
420,420,0,1,70,58,Monday,16,0.6029999999999999
421,421,0,2,120,89,Monday,16,0.6764000000000002
422,422,0,3,60,47,Monday,16,0.638
423,423,1,2,50,49,Monday,16,0.5099999999999999
424,424,1,7,110,88,Monday,16,0.625
425,425,2,5,100,99,Monday,16,0.505
426,426,3,4,90,84,Monday,16,0.5359999999999999
427,427,3,10,70,52,Monday,16,0.6729999999999999
428,428,4,5,70,52,Monday,16,0.6729999999999999
429,429,4,6,60,47,Monday,16,0.638
430,430,5,8,80,73,Monday,16,0.5479999999999999
431,431,5,12,60,53,Monday,16,0.5660000000000001
432,432,6,7,110,105,Monday,16,0.524
433,433,7,9,140,109,Monday,16,0.6420000000000001
434,434,8,9,120,118,Monday,16,0.508
435,435,9,11,60,49,Monday,16,0.612
436,436,9,13,130,107,Monday,16,0.6070000000000001
437,437,10,11,60,50,Monday,16,0.5999999999999999
438,438,10,13,60,51,Monday,16,0.588
439,439,11,12,70,49,Monday,16,0.7140000000000002
440,440,0,1,130,105,Monday,18,0.6201999999999999
441,441,0,2,60,46,Monday,18,0.652
442,442,0,3,130,112,Monday,18,0.5801000000000001
443,443,1,2,110,106,Monday,18,0.519
444,444,1,7,50,36,Monday,18,0.6940000000000001
445,445,2,5,60,43,Monday,18,0.6980000000000002
446,446,3,4,130,127,Monday,18,0.5120000000000001
447,447,3,10,70,55,Monday,18,0.636
448,448,4,5,110,84,Monday,18,0.6550000000000001
449,449,4,6,110,98,Monday,18,0.561
450,450,5,8,100,71,Monday,18,0.704
451,451,5,12,80,68,Monday,18,0.588
452,452,6,7,60,48,Monday,18,0.625
453,453,7,9,80,56,Monday,18,0.7140000000000003
454,454,8,9,60,43,Monday,18,0.6980000000000002
455,455,9,11,140,138,Monday,18,0.5071
456,456,9,13,120,96,Monday,18,0.625
457,457,10,11,60,55,Monday,18,0.545
458,458,10,13,50,38,Monday,18,0.6579999999999998
459,459,11,12,60,45,Monday,18,0.6669999999999999
460,460,0,1,110,80,Monday,20,0.688
461,461,0,2,50,29,Monday,20,0.8619999999999999
462,462,0,3,140,106,Monday,20,0.66
463,463,1,2,130,88,Monday,20,0.739
464,464,1,7,80,62,Monday,20,0.6449999999999999
465,465,2,5,140,100,Monday,20,0.7000000000000001
466,466,3,4,60,42,Monday,20,0.7140000000000002
467,467,3,10,130,71,Monday,20,0.9177
468,468,4,5,140,89,Monday,20,0.787
469,469,4,6,110,67,Monday,20,0.8246999999999998
470,470,5,8,60,41,Monday,20,0.7338
471,471,5,12,130,98,Monday,20,0.6606000000000001
472,472,6,7,90,65,Monday,20,0.6931
473,473,7,9,60,39,Monday,20,0.769
474,474,8,9,90,54,Monday,20,0.833
475,475,9,11,110,63,Monday,20,0.873
476,476,9,13,80,53,Monday,20,0.755
477,477,10,11,130,82,Monday,20,0.7957
478,478,10,13,140,71,Monday,20,0.9775
479,479,11,12,60,36,Monday,20,0.833
480,480,0,1,110,77,Monday,22,0.7140000000000002
481,481,0,2,140,101,Monday,22,0.6929999999999998
482,482,0,3,60,43,Monday,22,0.6996000000000002
483,483,1,2,120,74,Monday,22,0.8088000000000001
484,484,1,7,100,78,Monday,22,0.6401999999999999
485,485,2,5,110,57,Monday,22,0.9650000000000001
486,486,3,4,90,67,Monday,22,0.6729999999999998
487,487,3,10,120,81,Monday,22,0.7409999999999999
488,488,4,5,50,32,Monday,22,0.7809999999999998
489,489,4,6,130,74,Monday,22,0.8837000000000002
490,490,5,8,120,61,Monday,22,0.9840000000000002
491,491,5,12,70,55,Monday,22,0.636
492,492,6,7,110,62,Monday,22,0.8870000000000002
493,493,7,9,80,49,Monday,22,0.8177
494,494,8,9,80,42,Monday,22,0.9544
495,495,9,11,120,69,Monday,22,0.8699999999999999
496,496,9,13,60,30,Monday,22,1.0
497,497,10,11,60,39,Monday,22,0.769
498,498,10,13,140,101,Monday,22,0.6929999999999998
499,499,11,12,50,31,Monday,22,0.8059999999999998
500,500,0,1,80,56,Monday,24,0.7140000000000002
501,501,0,2,140,79,Monday,24,0.8859999999999999
502,502,0,3,80,57,Monday,24,0.7020000000000001
503,503,1,2,50,28,Monday,24,0.893
504,504,1,7,110,83,Monday,24,0.663
505,505,2,5,120,86,Monday,24,0.6980000000000001
506,506,3,4,100,77,Monday,24,0.6458
507,507,3,10,120,62,Monday,24,0.968
508,508,4,5,70,40,Monday,24,0.875
509,509,4,6,70,41,Monday,24,0.8540000000000001
510,510,5,8,50,28,Monday,24,0.893
511,511,5,12,110,58,Monday,24,0.9464000000000002
512,512,6,7,50,38,Monday,24,0.6597999999999999
513,513,7,9,100,52,Monday,24,0.962
514,514,8,9,90,71,Monday,24,0.6340000000000001
515,515,9,11,140,72,Monday,24,0.9663999999999998
516,516,9,13,60,38,Monday,24,0.7889999999999999
517,517,10,11,60,46,Monday,24,0.652
518,518,10,13,60,45,Monday,24,0.6669999999999999
519,519,11,12,70,43,Monday,24,0.8085000000000001
520,520,0,1,110,85,Tuesday,0,0.6470000000000001
521,521,0,2,110,83,Tuesday,0,0.663
522,522,0,3,50,39,Tuesday,0,0.6409999999999999
523,523,1,2,120,92,Tuesday,0,0.652
524,524,1,7,50,27,Tuesday,0,0.9259999999999999
525,525,2,5,70,38,Tuesday,0,0.9209999999999997
526,526,3,4,90,64,Tuesday,0,0.7030000000000001
527,527,3,10,120,91,Tuesday,0,0.6589999999999999
528,528,4,5,70,37,Tuesday,0,0.946
529,529,4,6,120,82,Tuesday,0,0.7320000000000001
530,530,5,8,60,38,Tuesday,0,0.7889999999999999
531,531,5,12,80,47,Tuesday,0,0.851
532,532,6,7,60,47,Tuesday,0,0.638
533,533,7,9,60,40,Tuesday,0,0.75
534,534,8,9,50,26,Tuesday,0,0.962
535,535,9,11,140,81,Tuesday,0,0.8651
536,536,9,13,130,70,Tuesday,0,0.9316000000000001
537,537,10,11,110,85,Tuesday,0,0.6470000000000001
538,538,10,13,130,72,Tuesday,0,0.9030000000000001
539,539,11,12,60,32,Tuesday,0,0.9380000000000001
540,540,0,1,60,35,Tuesday,2,0.857
