,ID,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,Weight
97,97,10,11,140,16,Sunday,8,4.375
98,98,10,13,120,22,Sunday,8,2.753
99,99,11,12,100,21,Sunday,8,2.381
100,100,0,1,100,34,Sunday,10,1.4667999999999999
101,101,0,2,80,25,Sunday,10,1.5778999999999999
102,102,0,3,50,18,Sunday,10,1.3889999999999998
103,103,1,2,130,64,Sunday,10,1.0176
104,104,1,7,100,53,Sunday,10,0.9274999999999999
105,105,2,5,70,24,Sunday,10,1.4580000000000002
106,106,3,4,50,19,Sunday,10,1.316
107,107,3,10,90,47,Sunday,10,0.9462000000000002
108,108,4,5,140,56,Sunday,10,1.2484
109,109,4,6,130,44,Sunday,10,1.4796
110,110,5,8,100,59,Sunday,10,0.853
111,111,5,12,140,48,Sunday,10,1.4526000000000001
112,112,6,7,60,27,Sunday,10,1.1110000000000002
113,113,7,9,100,50,Sunday,10,0.9882
114,114,8,9,110,40,Sunday,10,1.372
115,115,9,11,140,81,Sunday,10,0.8674
116,116,9,13,110,40,Sunday,10,1.372
117,117,10,11,110,43,Sunday,10,1.2790000000000001
118,118,10,13,120,66,Sunday,10,0.9077999999999999
119,119,11,12,70,26,Sunday,10,1.3679999999999999
120,120,0,1,100,43,Sunday,12,1.1657000000000002
121,121,0,2,50,19,Sunday,12,1.316
122,122,0,3,90,35,Sunday,12,1.2788
123,123,1,2,50,24,Sunday,12,1.042
124,124,1,7,80,44,Sunday,12,0.9113000000000001
125,125,2,5,50,19,Sunday,12,1.316
126,126,3,4,90,38,Sunday,12,1.1810000000000003
127,127,3,10,90,30,Sunday,12,1.4830999999999999
128,128,4,5,140,67,Sunday,12,1.0419
129,129,4,6,50,22,Sunday,12,1.1359999999999997
130,130,5,8,70,39,Sunday,12,0.897
131,131,5,12,140,52,Sunday,12,1.3443
132,132,6,7,100,36,Sunday,12,1.4110999999999998
133,133,7,9,140,57,Sunday,12,1.2306000000000001
134,134,8,9,50,26,Sunday,12,0.962
135,135,9,11,100,35,Sunday,12,1.429
136,136,9,13,60,21,Sunday,12,1.429
137,137,10,11,80,47,Sunday,12,0.8548
138,138,10,13,110,60,Sunday,12,0.9184999999999999
139,139,11,12,130,49,Sunday,12,1.327
140,140,0,1,80,37,Sunday,14,1.0839999999999996
141,141,0,2,60,27,Sunday,14,1.1110000000000002
142,142,0,3,110,64,Sunday,14,0.8604
143,143,1,2,120,50,Sunday,14,1.1953999999999998
144,144,1,7,80,46,Sunday,14,0.8680999999999999
145,145,2,5,80,30,Sunday,14,1.3406
146,146,3,4,120,60,Sunday,14,0.9952
147,147,3,10,90,36,Sunday,14,1.25
148,148,4,5,60,34,Sunday,14,0.8846999999999999
149,149,4,6,80,44,Sunday,14,0.9113000000000001
150,150,5,8,70,37,Sunday,14,0.9485999999999999
151,151,5,12,130,41,Sunday,14,1.5927
152,152,6,7,100,49,Sunday,14,1.0199999999999998
153,153,7,9,50,16,Sunday,14,1.5619999999999998
154,154,8,9,100,59,Sunday,14,0.853
155,155,9,11,110,43,Sunday,14,1.2761
156,156,9,13,90,38,Sunday,14,1.1840000000000004
157,157,10,11,110,47,Sunday,14,1.168
158,158,10,13,80,40,Sunday,14,1.0026
159,159,11,12,130,76,Sunday,14,0.8506
160,160,0,1,90,51,Sunday,16,0.8819999999999999
161,161,0,2,140,67,Sunday,16,1.053
162,162,0,3,130,59,Sunday,16,1.1077000000000001
163,163,1,2,110,42,Sunday,16,1.3007000000000002
164,164,1,7,60,24,Sunday,16,1.25
165,165,2,5,80,37,Sunday,16,1.0839999999999996
166,166,3,4,80,36,Sunday,16,1.1174000000000002
167,167,3,10,80,34,Sunday,16,1.176
168,168,4,5,100,36,Sunday,16,1.4071
169,169,4,6,90,47,Sunday,16,0.9551000000000001
170,170,5,8,80,29,Sunday,16,1.3794
171,171,5,12,50,26,Sunday,16,0.962
172,172,6,7,50,26,Sunday,16,0.962
173,173,7,9,90,46,Sunday,16,0.978
174,174,8,9,110,51,Sunday,16,1.0815
175,175,9,11,80,44,Sunday,16,0.9187000000000001
176,176,9,13,130,49,Sunday,16,1.327
177,177,10,11,70,34,Sunday,16,1.0261
178,178,10,13,60,35,Sunday,16,0.8595
179,179,11,12,60,27,Sunday,16,1.1110000000000002
180,180,0,1,130,42,Sunday,18,1.5466
181,181,0,2,140,76,Sunday,18,0.9082000000000001
182,182,0,3,120,64,Sunday,18,0.938
183,183,1,2,140,79,Sunday,18,0.8849
184,184,1,7,120,71,Sunday,18,0.8532
185,185,2,5,120,58,Sunday,18,1.0323
186,186,3,4,60,31,Sunday,18,0.968
187,187,3,10,80,33,Sunday,18,1.212
188,188,4,5,80,45,Sunday,18,0.8917999999999999
189,189,4,6,140,61,Sunday,18,1.148
190,190,5,8,60,18,Sunday,18,1.6669999999999998
191,191,5,12,80,29,Sunday,18,1.3794
192,192,6,7,100,53,Sunday,18,0.938
193,193,7,9,50,25,Sunday,18,0.9924
194,194,8,9,80,35,Sunday,18,1.143
195,195,9,11,120,38,Sunday,18,1.5969000000000002
196,196,9,13,70,34,Sunday,18,1.0261
197,197,10,11,130,45,Sunday,18,1.4410999999999998
198,198,10,13,100,36,Sunday,18,1.4201000000000001
199,199,11,12,140,45,Sunday,18,1.5526000000000004
200,200,0,1,140,27,Sunday,20,2.5843
201,201,0,2,80,11,Sunday,20,3.6057
202,202,0,3,120,26,Sunday,20,2.3261
203,203,1,2,120,34,Sunday,20,1.7748000000000002
204,204,1,7,90,30,Sunday,20,1.4943
205,205,2,5,90,20,Sunday,20,2.25
206,206,3,4,80,19,Sunday,20,2.105
207,207,3,10,80,18,Sunday,20,2.2220000000000004
208,208,4,5,50,11,Sunday,20,2.273
209,209,4,6,110,36,Sunday,20,1.5095000000000003
210,210,5,8,130,32,Sunday,20,2.013
211,211,5,12,80,28,Sunday,20,1.4438
212,212,6,7,70,22,Sunday,20,1.5909999999999997
213,213,7,9,80,30,Sunday,20,1.4058
214,214,8,9,120,35,Sunday,20,1.7348000000000003
215,215,9,11,60,14,Sunday,20,2.1595000000000004
216,216,9,13,70,23,Sunday,20,1.5156
217,217,10,11,130,33,Sunday,20,1.9403
218,218,10,13,80,11,Sunday,20,3.636
219,219,11,12,80,19,Sunday,20,2.105
220,220,0,1,140,39,Sunday,22,1.7927999999999997
221,221,0,2,70,27,Sunday,22,1.3093
222,222,0,3,120,45,Sunday,22,1.3496000000000001
223,223,1,2,80,28,Sunday,22,1.4359000000000002
224,224,1,7,140,55,Sunday,22,1.2777999999999998
225,225,2,5,120,33,Sunday,22,1.8184
226,226,3,4,100,18,Sunday,22,2.8236999999999997
227,227,3,10,130,49,Sunday,22,1.3162
228,228,4,5,70,12,Sunday,22,2.9169999999999994
229,229,4,6,100,27,Sunday,22,1.8219999999999998
230,230,5,8,80,9,Sunday,22,4.555200000000001
231,231,5,12,100,14,Sunday,22,3.571
232,232,6,7,120,26,Sunday,22,2.3722000000000003
233,233,7,9,50,12,Sunday,22,2.0829999999999997
234,234,8,9,100,28,Sunday,22,1.7489999999999999
235,235,9,11,50,11,Sunday,22,2.273
236,236,9,13,50,17,Sunday,22,1.4709999999999999
237,237,10,11,60,21,Sunday,22,1.429
238,238,10,13,130,45,Sunday,22,1.4289999999999996
239,239,11,12,110,19,Sunday,22,2.8966000000000003
240,240,0,1,70,12,Sunday,24,2.9169999999999994
241,241,0,2,130,28,Sunday,24,2.3739999999999997
242,242,0,3,70,17,Sunday,24,2.0590000000000006
243,243,1,2,60,19,Sunday,24,1.5790000000000002
244,244,1,7,90,21,Sunday,24,2.1430000000000002
245,245,2,5,100,34,Sunday,24,1.4502000000000002
246,246,3,4,140,28,Sunday,24,2.5
247,247,3,10,100,26,Sunday,24,1.8894000000000002
248,248,4,5,50,16,Sunday,24,1.5619999999999998
249,249,4,6,90,18,Sunday,24,2.4868
250,250,5,8,110,11,Sunday,24,4.8635
251,251,5,12,130,49,Sunday,24,1.322
252,252,6,7,70,17,Sunday,24,2.0590000000000006
253,253,7,9,60,16,Sunday,24,1.875
254,254,8,9,130,48,Sunday,24,1.3462999999999998
255,255,9,11,140,16,Sunday,24,4.375
256,256,9,13,100,36,Sunday,24,1.3869
257,257,10,11,130,47,Sunday,24,1.3608
258,258,10,13,110,17,Sunday,24,3.2350000000000003
259,259,11,12,140,37,Sunday,24,1.8707999999999998
260,260,0,1,80,45,Monday,0,0.889
261,261,0,2,50,28,Monday,0,0.8930000000000003
262,262,0,3,100,69,Monday,0,0.7249999999999999
263,263,1,2,140,107,Monday,0,0.654
264,264,1,7,130,96,Monday,0,0.6770000000000002
265,265,2,5,140,110,Monday,0,0.636
266,266,3,4,50,36,Monday,0,0.6940000000000001
267,267,3,10,140,86,Monday,0,0.8093999999999999
268,268,4,5,110,74,Monday,0,0.7430000000000001
269,269,4,6,90,63,Monday,0,0.7140000000000002
270,270,5,8,90,59,Monday,0,0.763
271,271,5,12,120,70,Monday,0,0.857
272,272,6,7,140,97,Monday,0,0.7219999999999999
273,273,7,9,120,62,Monday,0,0.968
274,274,8,9,90,50,Monday,0,0.9000000000000001
275,275,9,11,90,69,Monday,0,0.652
276,276,9,13,130,67,Monday,0,0.97
277,277,10,11,140,80,Monday,0,0.8716999999999999
278,278,10,13,100,52,Monday,0,0.962
279,279,11,12,120,67,Monday,0,0.8960000000000001
280,280,0,1,140,76,Monday,2,0.9209999999999999
281,281,0,2,120,68,Monday,2,0.8819999999999999
282,282,0,3,90,62,Monday,2,0.726
283,283,1,2,140,96,Monday,2,0.7290000000000001
284,284,1,7,120,85,Monday,2,0.706
285,285,2,5,110,57,Monday,2,0.9649999999999999
286,286,3,4,140,109,Monday,2,0.6420000000000001
287,287,3,10,50,31,Monday,2,0.8059999999999998
288,288,4,5,80,44,Monday,2,0.9090000000000001
289,289,4,6,60,37,Monday,2,0.8109999999999999
290,290,5,8,120,79,Monday,2,0.7590000000000001
291,291,5,12,140,107,Monday,2,0.654
292,292,6,7,120,66,Monday,2,0.9090000000000001
293,293,7,9,100,51,Monday,2,0.9800000000000002
294,294,8,9,50,38,Monday,2,0.658
295,295,9,11,90,57,Monday,2,0.7889999999999999
296,296,9,13,110,69,Monday,2,0.7969999999999999
297,297,10,11,60,44,Monday,2,0.6820000000000002
298,298,10,13,60,30,Monday,2,1.0
299,299,11,12,130,92,Monday,2,0.7077000000000001
300,300,0,1,70,55,Monday,4,0.636
301,301,0,2,100,52,Monday,4,0.962
302,302,0,3,90,70,Monday,4,0.6438999999999999
303,303,1,2,100,76,Monday,4,0.6579999999999998
304,304,1,7,130,97,Monday,4,0.67
305,305,2,5,60,30,Monday,4,1.0
306,306,3,4,120,91,Monday,4,0.6589999999999999
307,307,3,10,50,35,Monday,4,0.7140000000000003
308,308,4,5,90,46,Monday,4,0.978
309,309,4,6,60,36,Monday,4,0.833
310,310,5,8,130,77,Monday,4,0.8440000000000001
311,311,5,12,140,97,Monday,4,0.7219999999999999
312,312,6,7,130,91,Monday,4,0.7140000000000002
313,313,7,9,70,37,Monday,4,0.946
314,314,8,9,80,41,Monday,4,0.9783999999999999
315,315,9,11,50,30,Monday,4,0.833
316,316,9,13,140,82,Monday,4,0.8550000000000001
317,317,10,11,100,67,Monday,4,0.7460000000000001
318,318,10,13,50,32,Monday,4,0.7809999999999999
319,319,11,12,130,69,Monday,4,0.9448000000000001
320,320,0,1,130,94,Monday,6,0.6864999999999999
321,321,0,2,50,35,Monday,6,0.7140000000000003
322,322,0,3,100,71,Monday,6,0.704
323,323,1,2,140,102,Monday,6,0.6853999999999999
324,324,1,7,90,63,Monday,6,0.7140000000000002
325,325,2,5,100,79,Monday,6,0.633
326,326,3,4,80,63,Monday,6,0.6349999999999999
327,327,3,10,70,36,Monday,6,0.9719999999999998
328,328,4,5,90,51,Monday,6,0.8819999999999999
329,329,4,6,130,75,Monday,6,0.867
330,330,5,8,70,49,Monday,6,0.7140000000000002
331,331,5,12,110,58,Monday,6,0.9480000000000002
332,332,6,7,50,39,Monday,6,0.6409999999999999
333,333,7,9,80,44,Monday,6,0.9090000000000001
334,334,8,9,130,87,Monday,6,0.747
335,335,9,11,140,99,Monday,6,0.707
336,336,9,13,110,63,Monday,6,0.873
337,337,10,11,80,49,Monday,6,0.8160000000000001
338,338,10,13,80,63,Monday,6,0.6349999999999999
339,339,11,12,100,68,Monday,6,0.7350000000000002
340,340,0,1,120,72,Monday,8,0.8342
341,341,0,2,130,102,Monday,8,0.6370000000000001
342,342,0,3,140,84,Monday,8,0.833
343,343,1,2,100,68,Monday,8,0.7350000000000002
344,344,1,7,90,60,Monday,8,0.75
345,345,2,5,50,28,Monday,8,0.8930000000000003
346,346,3,4,140,84,Monday,8,0.833
347,347,3,10,70,49,Monday,8,0.7140000000000002
348,348,4,5,140,79,Monday,8,0.8859999999999999
349,349,4,6,110,68,Monday,8,0.8089999999999999
350,350,5,8,140,94,Monday,8,0.7442
351,351,5,12,80,63,Monday,8,0.6349999999999999
352,352,6,7,50,28,Monday,8,0.8930000000000003
353,353,7,9,50,39,Monday,8,0.6409999999999999
354,354,8,9,100,50,Monday,8,1.0
355,355,9,11,130,71,Monday,8,0.9164000000000001
356,356,9,13,90,45,Monday,8,1.0
357,357,10,11,80,53,Monday,8,0.755
358,358,10,13,50,34,Monday,8,0.7350000000000001
359,359,11,12,90,46,Monday,8,0.978
360,360,0,1,60,58,Monday,10,0.5170000000000001
361,361,0,2,130,109,Monday,10,0.5955
362,362,0,3,110,87,Monday,10,0.6319999999999999
363,363,1,2,130,102,Monday,10,0.637
364,364,1,7,50,43,Monday,10,0.5809999999999998
365,365,2,5,60,51,Monday,10,0.588
366,366,3,4,110,99,Monday,10,0.5565
367,367,3,10,120,111,Monday,10,0.5410000000000001
368,368,4,5,70,58,Monday,10,0.6029999999999999
369,369,4,6,50,39,Monday,10,0.6409999999999999
370,370,5,8,80,60,Monday,10,0.6669999999999999
371,371,5,12,100,96,Monday,10,0.521
372,372,6,7,90,71,Monday,10,0.6340000000000001
373,373,7,9,60,57,Monday,10,0.5259999999999999
374,374,8,9,60,42,Monday,10,0.7140000000000003
375,375,9,11,110,100,Monday,10,0.5499999999999999
376,376,9,13,120,117,Monday,10,0.513
377,377,10,11,80,67,Monday,10,0.5970000000000001
378,378,10,13,60,57,Monday,10,0.5259999999999999
379,379,11,12,90,69,Monday,10,0.652
380,380,0,1,140,139,Monday,12,0.5046999999999999
381,381,0,2,100,98,Monday,12,0.5099999999999999
382,382,0,3,60,44,Monday,12,0.6820000000000002
383,383,1,2,120,115,Monday,12,0.5220000000000001
384,384,1,7,110,89,Monday,12,0.618
385,385,2,5,100,87,Monday,12,0.5750000000000001
386,386,3,4,100,79,Monday,12,0.633
387,387,3,10,120,114,Monday,12,0.5259999999999999
388,388,4,5,120,106,Monday,12,0.566
389,389,4,6,50,44,Monday,12,0.5679999999999998
390,390,5,8,70,49,Monday,12,0.7140000000000002
391,391,5,12,80,60,Monday,12,0.6669999999999999
392,392,6,7,80,56,Monday,12,0.7140000000000003
393,393,7,9,80,61,Monday,12,0.6559999999999998
394,394,8,9,100,82,Monday,12,0.6100000000000001
395,395,9,11,120,92,Monday,12,0.652
396,396,9,13,130,101,Monday,12,0.644
397,397,10,11,80,68,Monday,12,0.588
398,398,10,13,110,99,Monday,12,0.556
399,399,11,12,50,49,Monday,12,0.5099999999999999
400,400,0,1,60,53,Monday,14,0.5660000000000001
401,401,0,2,70,50,Monday,14,0.7000000000000001
402,402,0,3,50,35,Monday,14,0.7140000000000002
403,403,1,2,100,97,Monday,14,0.515
404,404,1,7,100,82,Monday,14,0.6100000000000001
405,405,2,5,120,84,Monday,14,0.7140000000000002
406,406,3,4,100,82,Monday,14,0.6100000000000001
407,407,3,10,110,90,Monday,14,0.6109999999999999
408,408,4,5,110,104,Monday,14,0.529
409,409,4,6,70,62,Monday,14,0.5649999999999998
410,410,5,8,130,115,Monday,14,0.5649999999999998
411,411,5,12,90,80,Monday,14,0.5620000000000002
412,412,6,7,130,95,Monday,14,0.684
413,413,7,9,60,46,Monday,14,0.652
414,414,8,9,80,71,Monday,14,0.5629999999999998
415,415,9,11,140,119,Monday,14,0.588
416,416,9,13,80,59,Monday,14,0.6792
417,417,10,11,110,105,Monday,14,0.524
418,418,10,13,70,53,Monday,14,0.66
419,419,11,12,110,107,Monday,14,0.5145000000000002
420,420,0,1,90,85,Monday,16,0.529
421,421,0,2,50,47,Monday,16,0.532
422,422,0,3,90,88,Monday,16,0.511
423,423,1,2,110,96,Monday,16,0.5736000000000001
424,424,1,7,130,126,Monday,16,0.516
425,425,2,5,80,76,Monday,16,0.5259999999999999
426,426,3,4,140,139,Monday,16,0.5039999999999999
427,427,3,10,110,82,Monday,16,0.671
428,428,4,5,60,47,Monday,16,0.638
429,429,4,6,130,127,Monday,16,0.5120000000000001
430,430,5,8,120,104,Monday,16,0.5770000000000001
431,431,5,12,90,72,Monday,16,0.625
432,432,6,7,130,127,Monday,16,0.5120000000000001
433,433,7,9,60,44,Monday,16,0.6820000000000002
434,434,8,9,90,68,Monday,16,0.662
435,435,9,11,110,91,Monday,16,0.604
436,436,9,13,60,51,Monday,16,0.588
437,437,10,11,110,92,Monday,16,0.5972999999999999
438,438,10,13,60,49,Monday,16,0.612
439,439,11,12,60,55,Monday,16,0.545
440,440,0,1,120,84,Monday,18,0.7140000000000002
441,441,0,2,50,49,Monday,18,0.5099999999999999
442,442,0,3,60,59,Monday,18,0.508
443,443,1,2,110,86,Monday,18,0.6399999999999999
444,444,1,7,100,70,Monday,18,0.7140000000000002
445,445,2,5,80,67,Monday,18,0.5970000000000001
446,446,3,4,50,49,Monday,18,0.5099999999999999
447,447,3,10,80,56,Monday,18,0.7140000000000003
448,448,4,5,60,54,Monday,18,0.556
449,449,4,6,50,44,Monday,18,0.5679999999999998
450,450,5,8,90,88,Monday,18,0.511
451,451,5,12,140,113,Monday,18,0.6189999999999999
452,452,6,7,120,99,Monday,18,0.606
453,453,7,9,140,133,Monday,18,0.5259999999999999
454,454,8,9,90,69,Monday,18,0.652
455,455,9,11,100,81,Monday,18,0.617
456,456,9,13,130,126,Monday,18,0.516
457,457,10,11,60,44,Monday,18,0.6820000000000002
458,458,10,13,90,68,Monday,18,0.662
459,459,11,12,110,108,Monday,18,0.509
460,460,0,1,50,33,Monday,20,0.758
461,461,0,2,50,34,Monday,20,0.7350000000000001
462,462,0,3,100,77,Monday,20,0.6474
463,463,1,2,120,94,Monday,20,0.6374
464,464,1,7,50,29,Monday,20,0.8619999999999999
465,465,2,5,50,30,Monday,20,0.833
466,466,3,4,140,75,Monday,20,0.9343999999999999
467,467,3,10,120,90,Monday,20,0.6677
468,468,4,5,70,46,Monday,20,0.7626999999999999
469,469,4,6,130,88,Monday,20,0.739
470,470,5,8,50,30,Monday,20,0.833
471,471,5,12,80,60,Monday,20,0.6669999999999999
472,472,6,7,110,87,Monday,20,0.6327999999999999
473,473,7,9,130,98,Monday,20,0.6619
474,474,8,9,130,88,Monday,20,0.739
475,475,9,11,130,79,Monday,20,0.8230000000000002
476,476,9,13,70,38,Monday,20,0.9235
477,477,10,11,130,80,Monday,20,0.8164000000000001
478,478,10,13,140,80,Monday,20,0.8806
479,479,11,12,70,37,Monday,20,0.946
480,480,0,1,130,92,Monday,22,0.7076999999999999
481,481,0,2,90,70,Monday,22,0.6429999999999999
482,482,0,3,50,27,Monday,22,0.9259999999999999
483,483,1,2,130,103,Monday,22,0.6316000000000002
484,484,1,7,80,49,Monday,22,0.8177
485,485,2,5,60,47,Monday,22,0.638
486,486,3,4,110,66,Monday,22,0.8343
487,487,3,10,90,71,Monday,22,0.6349000000000001
488,488,4,5,120,90,Monday,22,0.6677
489,489,4,6,120,67,Monday,22,0.8945999999999998
490,490,5,8,50,26,Monday,22,0.962
491,491,5,12,50,32,Monday,22,0.7809999999999998
492,492,6,7,130,100,Monday,22,0.6533
493,493,7,9,110,82,Monday,22,0.6742000000000001
494,494,8,9,120,94,Monday,22,0.6367999999999999
495,495,9,11,70,42,Monday,22,0.8351000000000001
496,496,9,13,70,49,Monday,22,0.7140000000000002
497,497,10,11,50,26,Monday,22,0.962
498,498,10,13,80,57,Monday,22,0.7020000000000001
499,499,11,12,60,30,Monday,22,1.0
500,500,0,1,110,83,Monday,24,0.663
501,501,0,2,60,36,Monday,24,0.833
502,502,0,3,140,94,Monday,24,0.7466
503,503,1,2,140,82,Monday,24,0.8540000000000001
504,504,1,7,50,37,Monday,24,0.676
505,505,2,5,120,92,Monday,24,0.652
506,506,3,4,130,67,Monday,24,0.9601999999999998
507,507,3,10,60,30,Monday,24,1.0
508,508,4,5,80,47,Monday,24,0.851
509,509,4,6,100,70,Monday,24,0.7140000000000002
510,510,5,8,50,30,Monday,24,0.833
511,511,5,12,70,46,Monday,24,0.761
512,512,6,7,90,66,Monday,24,0.6810000000000003
513,513,7,9,130,84,Monday,24,0.7722
514,514,8,9,130,93,Monday,24,0.6998
515,515,9,11,120,62,Monday,24,0.9696
516,516,9,13,50,35,Monday,24,0.7140000000000002
517,517,10,11,110,74,Monday,24,0.7420000000000002
518,518,10,13,140,85,Monday,24,0.8240000000000001
519,519,11,12,130,77,Monday,24,0.8440000000000001
520,520,0,1,140,100,Tuesday,0,0.7
521,521,0,2,70,44,Tuesday,0,0.795
522,522,0,3,130,84,Tuesday,0,0.774
523,523,1,2,130,83,Tuesday,0,0.7829999999999998
524,524,1,7,60,37,Tuesday,0,0.8109999999999999
525,525,2,5,100,58,Tuesday,0,0.8619999999999999
526,526,3,4,140,101,Tuesday,0,0.6929999999999998
527,527,3,10,50,32,Tuesday,0,0.7809999999999999
528,528,4,5,50,34,Tuesday,0,0.7350000000000001
529,529,4,6,60,30,Tuesday,0,1.0
530,530,5,8,100,74,Tuesday,0,0.676
531,531,5,12,80,44,Tuesday,0,0.9090000000000001
532,532,6,7,120,73,Tuesday,0,0.8220000000000001
533,533,7,9,100,58,Tuesday,0,0.8619999999999999
534,534,8,9,100,64,Tuesday,0,0.7809999999999998
535,535,9,11,100,61,Tuesday,0,0.8200000000000001
536,536,9,13,140,100,Tuesday,0,0.7
537,537,10,11,60,32,Tuesday,0,0.9380000000000001
538,538,10,13,110,86,Tuesday,0,0.6407
539,539,11,12,110,80,Tuesday,0,0.6879999999999998
540,540,0,1,60,44,Tuesday,2,0.6820000000000002
541,541,0,2,80,57,Tuesday,2,0.7020000000000001
542,542,0,3,90,59,Tuesday,2,0.7616999999999999
543,543,1,2,140,103,Tuesday,2,0.6799999999999999
544,544,1,7,60,40,Tuesday,2,0.75
545,545,2,5,120,94,Tuesday,2,0.6387
546,546,3,4,90,71,Tuesday,2,0.6340000000000002
