,EP1,EP2,Bandwidth,PacketsFlowing(1Kb),DayOfTheWeek,TimeHour,LinkWeight
2150,5,8,140,82,Monday,6,0.854
2151,5,12,120,83,Monday,6,0.723
2152,6,7,130,66,Monday,6,0.985
2153,7,9,80,44,Monday,6,0.909
2154,8,9,90,51,Monday,6,0.882
2155,9,11,70,40,Monday,6,0.875
2156,9,13,80,43,Monday,6,0.930
2157,10,11,80,58,Monday,6,0.690
2158,10,13,60,45,Monday,6,0.667
2159,11,12,60,47,Monday,6,0.638
2160,0,1,70,44,Monday,8,0.795
2161,0,2,50,38,Monday,8,0.658
2162,0,3,50,36,Monday,8,0.694
2163,1,2,110,74,Monday,8,0.743
2164,1,7,50,26,Monday,8,0.962
2165,2,5,50,25,Monday,8,1.000
2166,3,4,70,43,Monday,8,0.814
2167,3,10,50,30,Monday,8,0.833
2168,4,5,120,70,Monday,8,0.857
2169,4,6,130,88,Monday,8,0.739
2170,5,8,120,79,Monday,8,0.759
2171,5,12,110,70,Monday,8,0.786
2172,6,7,130,74,Monday,8,0.878
2173,7,9,70,42,Monday,8,0.833
2174,8,9,140,78,Monday,8,0.897
2175,9,11,80,44,Monday,8,0.909
2176,9,13,70,38,Monday,8,0.921
2177,10,11,110,86,Monday,8,0.640
2178,10,13,80,57,Monday,8,0.702
2179,11,12,60,40,Monday,8,0.750
2180,0,1,60,56,Monday,10,0.536
2181,0,2,100,98,Monday,10,0.510
2182,0,3,120,86,Monday,10,0.698
2183,1,2,60,50,Monday,10,0.600
2184,1,7,50,48,Monday,10,0.521
2185,2,5,90,71,Monday,10,0.634
2186,3,4,140,132,Monday,10,0.530
2187,3,10,120,98,Monday,10,0.612
2188,4,5,60,59,Monday,10,0.508
2189,4,6,90,83,Monday,10,0.542
2190,5,8,100,77,Monday,10,0.649
2191,5,12,120,99,Monday,10,0.606
2192,6,7,80,62,Monday,10,0.645
2193,7,9,50,35,Monday,10,0.714
2194,8,9,120,105,Monday,10,0.571
2195,9,11,90,64,Monday,10,0.703
2196,9,13,130,112,Monday,10,0.580
2197,10,11,90,68,Monday,10,0.662
2198,10,13,140,100,Monday,10,0.700
2199,11,12,70,66,Monday,10,0.530
2200,0,1,100,99,Monday,12,0.505
2201,0,2,100,93,Monday,12,0.538
2202,0,3,130,123,Monday,12,0.528
2203,1,2,120,93,Monday,12,0.645
2204,1,7,130,125,Monday,12,0.520
2205,2,5,130,102,Monday,12,0.637
2206,3,4,70,66,Monday,12,0.530
2207,3,10,60,52,Monday,12,0.577
2208,4,5,130,102,Monday,12,0.637
2209,4,6,80,79,Monday,12,0.506
2210,5,8,140,113,Monday,12,0.619
2211,5,12,140,99,Monday,12,0.707
2212,6,7,70,64,Monday,12,0.547
2213,7,9,140,105,Monday,12,0.667
2214,8,9,60,47,Monday,12,0.638
2215,9,11,60,42,Monday,12,0.714
2216,9,13,80,60,Monday,12,0.667
2217,10,11,80,64,Monday,12,0.625
2218,10,13,120,108,Monday,12,0.556
2219,11,12,140,98,Monday,12,0.714
2220,0,1,70,66,Monday,14,0.530
2221,0,2,110,89,Monday,14,0.618
2222,0,3,80,65,Monday,14,0.615
2223,1,2,60,45,Monday,14,0.667
2224,1,7,90,87,Monday,14,0.517
2225,2,5,110,77,Monday,14,0.714
2226,3,4,50,48,Monday,14,0.521
2227,3,10,140,99,Monday,14,0.707
2228,4,5,70,56,Monday,14,0.625
2229,4,6,60,52,Monday,14,0.577
2230,5,8,110,98,Monday,14,0.561
2231,5,12,130,121,Monday,14,0.537
2232,6,7,110,80,Monday,14,0.688
2233,7,9,90,67,Monday,14,0.672
2234,8,9,120,114,Monday,14,0.526
2235,9,11,80,72,Monday,14,0.556
2236,9,13,60,55,Monday,14,0.545
2237,10,11,50,42,Monday,14,0.595
2238,10,13,60,44,Monday,14,0.682
2239,11,12,140,125,Monday,14,0.560
2240,0,1,70,58,Monday,16,0.603
2241,0,2,120,89,Monday,16,0.674
2242,0,3,60,47,Monday,16,0.638
2243,1,2,50,49,Monday,16,0.510
2244,1,7,110,88,Monday,16,0.625
2245,2,5,100,99,Monday,16,0.505
2246,3,4,90,84,Monday,16,0.536
2247,3,10,70,52,Monday,16,0.673
2248,4,5,70,52,Monday,16,0.673
2249,4,6,60,47,Monday,16,0.638
2250,5,8,80,73,Monday,16,0.548
2251,5,12,60,53,Monday,16,0.566
2252,6,7,110,105,Monday,16,0.524
2253,7,9,140,109,Monday,16,0.642
2254,8,9,120,118,Monday,16,0.508
2255,9,11,60,49,Monday,16,0.612
2256,9,13,130,107,Monday,16,0.607
2257,10,11,60,50,Monday,16,0.600
2258,10,13,60,51,Monday,16,0.588
2259,11,12,70,49,Monday,16,0.714
2260,0,1,130,105,Monday,18,0.619
2261,0,2,60,46,Monday,18,0.652
2262,0,3,130,112,Monday,18,0.580
2263,1,2,110,106,Monday,18,0.519
2264,1,7,50,36,Monday,18,0.694
2265,2,5,60,43,Monday,18,0.698
2266,3,4,130,127,Monday,18,0.512
2267,3,10,70,55,Monday,18,0.636
2268,4,5,110,84,Monday,18,0.655
2269,4,6,110,98,Monday,18,0.561
2270,5,8,100,71,Monday,18,0.704
2271,5,12,80,68,Monday,18,0.588
2272,6,7,60,48,Monday,18,0.625
2273,7,9,80,56,Monday,18,0.714
2274,8,9,60,43,Monday,18,0.698
2275,9,11,140,138,Monday,18,0.507
2276,9,13,120,96,Monday,18,0.625
2277,10,11,60,55,Monday,18,0.545
2278,10,13,50,38,Monday,18,0.658
2279,11,12,60,45,Monday,18,0.667
2280,0,1,110,80,Monday,20,0.688
2281,0,2,50,29,Monday,20,0.862
2282,0,3,140,106,Monday,20,0.660
2283,1,2,130,88,Monday,20,0.739
2284,1,7,80,62,Monday,20,0.645
2285,2,5,140,100,Monday,20,0.700
2286,3,4,60,42,Monday,20,0.714
2287,3,10,130,71,Monday,20,0.915
2288,4,5,140,89,Monday,20,0.787
2289,4,6,110,67,Monday,20,0.821
2290,5,8,60,41,Monday,20,0.732
2291,5,12,130,98,Monday,20,0.663
2292,6,7,90,65,Monday,20,0.692
2293,7,9,60,39,Monday,20,0.769
2294,8,9,90,54,Monday,20,0.833
2295,9,11,110,63,Monday,20,0.873
2296,9,13,80,53,Monday,20,0.755
2297,10,11,130,82,Monday,20,0.793
2298,10,13,140,71,Monday,20,0.986
2299,11,12,60,36,Monday,20,0.833
2300,0,1,110,77,Monday,22,0.714
2301,0,2,140,101,Monday,22,0.693
2302,0,3,60,43,Monday,22,0.698
2303,1,2,120,74,Monday,22,0.811
2304,1,7,100,78,Monday,22,0.641
2305,2,5,110,57,Monday,22,0.965
2306,3,4,90,67,Monday,22,0.672
2307,3,10,120,81,Monday,22,0.741
2308,4,5,50,32,Monday,22,0.781
2309,4,6,130,74,Monday,22,0.878
2310,5,8,120,61,Monday,22,0.984
2311,5,12,70,55,Monday,22,0.636
2312,6,7,110,62,Monday,22,0.887
2313,7,9,80,49,Monday,22,0.816
2314,8,9,80,42,Monday,22,0.952
2315,9,11,120,69,Monday,22,0.870
2316,9,13,60,30,Monday,22,1.000
2317,10,11,60,39,Monday,22,0.769
2318,10,13,140,101,Monday,22,0.693
2319,11,12,50,31,Monday,22,0.806
2320,0,1,80,56,Monday,24,0.714
2321,0,2,140,79,Monday,24,0.886
2322,0,3,80,57,Monday,24,0.702
2323,1,2,50,28,Monday,24,0.893
2324,1,7,110,83,Monday,24,0.663
2325,2,5,120,86,Monday,24,0.698
2326,3,4,100,77,Monday,24,0.649
2327,3,10,120,62,Monday,24,0.968
2328,4,5,70,40,Monday,24,0.875
2329,4,6,70,41,Monday,24,0.854
2330,5,8,50,28,Monday,24,0.893
2331,5,12,110,58,Monday,24,0.948
2332,6,7,50,38,Monday,24,0.658
2333,7,9,100,52,Monday,24,0.962
2334,8,9,90,71,Monday,24,0.634
2335,9,11,140,72,Monday,24,0.972
2336,9,13,60,38,Monday,24,0.789
2337,10,11,60,46,Monday,24,0.652
2338,10,13,60,45,Monday,24,0.667
2339,11,12,70,43,Monday,24,0.814
2340,0,1,110,85,Tuesday,0,0.647
2341,0,2,110,83,Tuesday,0,0.663
2342,0,3,50,39,Tuesday,0,0.641
2343,1,2,120,92,Tuesday,0,0.652
2344,1,7,50,27,Tuesday,0,0.926
2345,2,5,70,38,Tuesday,0,0.921
2346,3,4,90,64,Tuesday,0,0.703
2347,3,10,120,91,Tuesday,0,0.659
2348,4,5,70,37,Tuesday,0,0.946
2349,4,6,120,82,Tuesday,0,0.732
2350,5,8,60,38,Tuesday,0,0.789
2351,5,12,80,47,Tuesday,0,0.851
2352,6,7,60,47,Tuesday,0,0.638
2353,7,9,60,40,Tuesday,0,0.750
2354,8,9,50,26,Tuesday,0,0.962
2355,9,11,140,81,Tuesday,0,0.864
2356,9,13,130,70,Tuesday,0,0.929
2357,10,11,110,85,Tuesday,0,0.647
2358,10,13,130,72,Tuesday,0,0.903
2359,11,12,60,32,Tuesday,0,0.938
2360,0,1,60,35,Tuesday,2,0.857
2361,0,2,140,99,Tuesday,2,0.707
2362,0,3,90,62,Tuesday,2,0.726
2363,1,2,80,42,Tuesday,2,0.952
2364,1,7,140,73,Tuesday,2,0.959
2365,2,5,90,46,Tuesday,2,0.978
2366,3,4,70,45,Tuesday,2,0.778
2367,3,10,70,45,Tuesday,2,0.778
2368,4,5,140,91,Tuesday,2,0.769
2369,4,6,100,70,Tuesday,2,0.714
2370,5,8,130,102,Tuesday,2,0.637
2371,5,12,120,94,Tuesday,2,0.638
2372,6,7,130,82,Tuesday,2,0.793
2373,7,9,130,97,Tuesday,2,0.670
2374,8,9,50,28,Tuesday,2,0.893
2375,9,11,110,84,Tuesday,2,0.655
2376,9,13,110,83,Tuesday,2,0.663
2377,10,11,100,69,Tuesday,2,0.725
2378,10,13,100,79,Tuesday,2,0.633
2379,11,12,100,54,Tuesday,2,0.926
2380,0,1,90,59,Tuesday,4,0.763
2381,0,2,50,30,Tuesday,4,0.833
2382,0,3,70,46,Tuesday,4,0.761
2383,1,2,130,81,Tuesday,4,0.802
2384,1,7,60,47,Tuesday,4,0.638
2385,2,5,80,54,Tuesday,4,0.741
2386,3,4,140,82,Tuesday,4,0.854
2387,3,10,130,87,Tuesday,4,0.747
2388,4,5,120,76,Tuesday,4,0.789
2389,4,6,80,61,Tuesday,4,0.656
2390,5,8,50,29,Tuesday,4,0.862
2391,5,12,140,70,Tuesday,4,1.000
2392,6,7,130,84,Tuesday,4,0.774
2393,7,9,110,77,Tuesday,4,0.714
2394,8,9,70,42,Tuesday,4,0.833
2395,9,11,100,79,Tuesday,4,0.633
2396,9,13,80,58,Tuesday,4,0.690
2397,10,11,100,62,Tuesday,4,0.806
2398,10,13,140,87,Tuesday,4,0.805
2399,11,12,120,64,Tuesday,4,0.938
2400,0,1,60,38,Tuesday,6,0.789
2401,0,2,70,38,Tuesday,6,0.921
2402,0,3,120,67,Tuesday,6,0.896
2403,1,2,60,32,Tuesday,6,0.938
2404,1,7,130,77,Tuesday,6,0.844
2405,2,5,120,89,Tuesday,6,0.674
2406,3,4,80,42,Tuesday,6,0.952
2407,3,10,70,40,Tuesday,6,0.875
2408,4,5,100,66,Tuesday,6,0.758
2409,4,6,70,45,Tuesday,6,0.778
2410,5,8,110,87,Tuesday,6,0.632
2411,5,12,80,49,Tuesday,6,0.816
2412,6,7,130,73,Tuesday,6,0.890
2413,7,9,100,59,Tuesday,6,0.847
2414,8,9,120,72,Tuesday,6,0.833
2415,9,11,70,50,Tuesday,6,0.700
2416,9,13,120,89,Tuesday,6,0.674
2417,10,11,100,67,Tuesday,6,0.746
2418,10,13,60,34,Tuesday,6,0.882
2419,11,12,100,60,Tuesday,6,0.833
2420,0,1,140,86,Tuesday,8,0.814
2421,0,2,100,60,Tuesday,8,0.833
2422,0,3,130,78,Tuesday,8,0.833
2423,1,2,60,39,Tuesday,8,0.769
2424,1,7,120,88,Tuesday,8,0.682
2425,2,5,60,43,Tuesday,8,0.698
2426,3,4,90,67,Tuesday,8,0.672
2427,3,10,140,90,Tuesday,8,0.778
2428,4,5,60,35,Tuesday,8,0.857
2429,4,6,100,60,Tuesday,8,0.833
2430,5,8,70,36,Tuesday,8,0.972
2431,5,12,130,66,Tuesday,8,0.985
2432,6,7,70,47,Tuesday,8,0.745
2433,7,9,100,63,Tuesday,8,0.794
2434,8,9,120,80,Tuesday,8,0.750
2435,9,11,110,65,Tuesday,8,0.846
2436,9,13,60,44,Tuesday,8,0.682
2437,10,11,100,51,Tuesday,8,0.980
2438,10,13,50,38,Tuesday,8,0.658
2439,11,12,50,39,Tuesday,8,0.641
2440,0,1,60,55,Tuesday,10,0.545
2441,0,2,70,63,Tuesday,10,0.556
2442,0,3,90,86,Tuesday,10,0.523
2443,1,2,70,56,Tuesday,10,0.625
2444,1,7,100,96,Tuesday,10,0.521
2445,2,5,100,93,Tuesday,10,0.538
2446,3,4,80,60,Tuesday,10,0.667
2447,3,10,130,105,Tuesday,10,0.619
2448,4,5,90,87,Tuesday,10,0.517
2449,4,6,100,97,Tuesday,10,0.515
2450,5,8,140,130,Tuesday,10,0.538
2451,5,12,110,109,Tuesday,10,0.505
2452,6,7,90,63,Tuesday,10,0.714
2453,7,9,130,111,Tuesday,10,0.586
2454,8,9,120,106,Tuesday,10,0.566
2455,9,11,130,95,Tuesday,10,0.684
2456,9,13,80,70,Tuesday,10,0.571
2457,10,11,130,128,Tuesday,10,0.508
2458,10,13,70,49,Tuesday,10,0.714
2459,11,12,100,94,Tuesday,10,0.532
2460,0,1,80,70,Tuesday,12,0.571
2461,0,2,130,98,Tuesday,12,0.663
2462,0,3,140,103,Tuesday,12,0.680
2463,1,2,80,73,Tuesday,12,0.548
2464,1,7,60,44,Tuesday,12,0.682
2465,2,5,130,120,Tuesday,12,0.542
2466,3,4,70,67,Tuesday,12,0.522
2467,3,10,110,98,Tuesday,12,0.561
2468,4,5,80,69,Tuesday,12,0.580
2469,4,6,100,74,Tuesday,12,0.676
2470,5,8,70,68,Tuesday,12,0.515
2471,5,12,130,128,Tuesday,12,0.508
2472,6,7,60,52,Tuesday,12,0.577
2473,7,9,80,62,Tuesday,12,0.645
2474,8,9,130,118,Tuesday,12,0.551
2475,9,11,80,75,Tuesday,12,0.533
2476,9,13,130,116,Tuesday,12,0.560
2477,10,11,60,51,Tuesday,12,0.588
2478,10,13,130,96,Tuesday,12,0.677
2479,11,12,50,36,Tuesday,12,0.694
2480,0,1,120,103,Tuesday,14,0.583
2481,0,2,80,73,Tuesday,14,0.548
2482,0,3,120,107,Tuesday,14,0.561
2483,1,2,140,129,Tuesday,14,0.543
2484,1,7,80,66,Tuesday,14,0.606
2485,2,5,100,80,Tuesday,14,0.625
2486,3,4,50,37,Tuesday,14,0.676
2487,3,10,140,132,Tuesday,14,0.530
2488,4,5,120,108,Tuesday,14,0.556
2489,4,6,70,62,Tuesday,14,0.565
2490,5,8,60,48,Tuesday,14,0.625
2491,5,12,110,84,Tuesday,14,0.655
2492,6,7,60,50,Tuesday,14,0.600
2493,7,9,80,58,Tuesday,14,0.690
2494,8,9,110,108,Tuesday,14,0.509
2495,9,11,130,115,Tuesday,14,0.565
2496,9,13,110,108,Tuesday,14,0.509
2497,10,11,80,58,Tuesday,14,0.690
2498,10,13,140,139,Tuesday,14,0.504
2499,11,12,80,62,Tuesday,14,0.645
2500,0,1,130,126,Tuesday,16,0.516
2501,0,2,90,73,Tuesday,16,0.616
2502,0,3,50,49,Tuesday,16,0.510
2503,1,2,120,100,Tuesday,16,0.600
2504,1,7,80,79,Tuesday,16,0.506
2505,2,5,130,91,Tuesday,16,0.714
2506,3,4,110,104,Tuesday,16,0.529
2507,3,10,140,112,Tuesday,16,0.625
2508,4,5,50,40,Tuesday,16,0.625
2509,4,6,70,68,Tuesday,16,0.515
2510,5,8,60,57,Tuesday,16,0.526
2511,5,12,110,95,Tuesday,16,0.579
2512,6,7,50,44,Tuesday,16,0.568
2513,7,9,130,106,Tuesday,16,0.613
2514,8,9,70,53,Tuesday,16,0.660
2515,9,11,70,59,Tuesday,16,0.593
2516,9,13,90,67,Tuesday,16,0.672
2517,10,11,120,119,Tuesday,16,0.504
2518,10,13,60,44,Tuesday,16,0.682
2519,11,12,100,92,Tuesday,16,0.543
2520,0,1,100,96,Tuesday,18,0.521
2521,0,2,140,139,Tuesday,18,0.504
2522,0,3,80,78,Tuesday,18,0.513
2523,1,2,120,118,Tuesday,18,0.508
2524,1,7,140,116,Tuesday,18,0.603
2525,2,5,120,113,Tuesday,18,0.531
2526,3,4,50,46,Tuesday,18,0.543
2527,3,10,80,77,Tuesday,18,0.519
2528,4,5,60,51,Tuesday,18,0.588
2529,4,6,90,65,Tuesday,18,0.692
2530,5,8,100,98,Tuesday,18,0.510
2531,5,12,60,43,Tuesday,18,0.698
2532,6,7,70,57,Tuesday,18,0.614
2533,7,9,100,89,Tuesday,18,0.562
2534,8,9,120,115,Tuesday,18,0.522
2535,9,11,140,124,Tuesday,18,0.565
2536,9,13,90,85,Tuesday,18,0.529
2537,10,11,120,111,Tuesday,18,0.541
2538,10,13,100,70,Tuesday,18,0.714
2539,11,12,140,104,Tuesday,18,0.673
2540,0,1,100,58,Tuesday,20,0.862
2541,0,2,80,44,Tuesday,20,0.909
2542,0,3,90,61,Tuesday,20,0.738
2543,1,2,60,33,Tuesday,20,0.909
2544,1,7,140,109,Tuesday,20,0.642
2545,2,5,70,51,Tuesday,20,0.686
2546,3,4,70,55,Tuesday,20,0.636
2547,3,10,50,29,Tuesday,20,0.862
2548,4,5,80,55,Tuesday,20,0.727
2549,4,6,90,69,Tuesday,20,0.652
2550,5,8,140,108,Tuesday,20,0.648
2551,5,12,70,41,Tuesday,20,0.854
2552,6,7,60,43,Tuesday,20,0.698
2553,7,9,120,88,Tuesday,20,0.682
2554,8,9,80,59,Tuesday,20,0.678
2555,9,11,110,65,Tuesday,20,0.846
2556,9,13,140,107,Tuesday,20,0.654
2557,10,11,70,54,Tuesday,20,0.648
2558,10,13,90,56,Tuesday,20,0.804
2559,11,12,140,96,Tuesday,20,0.729
2560,0,1,70,49,Tuesday,22,0.714
2561,0,2,90,54,Tuesday,22,0.833
2562,0,3,100,64,Tuesday,22,0.781
2563,1,2,120,84,Tuesday,22,0.714
2564,1,7,80,58,Tuesday,22,0.690
2565,2,5,90,63,Tuesday,22,0.714
2566,3,4,130,92,Tuesday,22,0.707
2567,3,10,60,32,Tuesday,22,0.938
2568,4,5,120,60,Tuesday,22,1.000
2569,4,6,50,26,Tuesday,22,0.962
2570,5,8,60,43,Tuesday,22,0.698
2571,5,12,50,34,Tuesday,22,0.735
2572,6,7,100,58,Tuesday,22,0.862
2573,7,9,140,109,Tuesday,22,0.642
2574,8,9,70,40,Tuesday,22,0.875
2575,9,11,100,54,Tuesday,22,0.926
2576,9,13,80,62,Tuesday,22,0.645
2577,10,11,130,91,Tuesday,22,0.714
2578,10,13,60,30,Tuesday,22,1.000
2579,11,12,80,43,Tuesday,22,0.930
2580,0,1,120,91,Tuesday,24,0.659
2581,0,2,70,48,Tuesday,24,0.729
2582,0,3,90,47,Tuesday,24,0.957
2583,1,2,120,88,Tuesday,24,0.682
2584,1,7,110,59,Tuesday,24,0.932
2585,2,5,90,54,Tuesday,24,0.833
2586,3,4,140,72,Tuesday,24,0.972
2587,3,10,110,70,Tuesday,24,0.786
2588,4,5,90,55,Tuesday,24,0.818
2589,4,6,140,85,Tuesday,24,0.824
2590,5,8,110,55,Tuesday,24,1.000
2591,5,12,50,39,Tuesday,24,0.641
2592,6,7,130,85,Tuesday,24,0.765
2593,7,9,100,76,Tuesday,24,0.658
2594,8,9,110,55,Tuesday,24,1.000
2595,9,11,130,84,Tuesday,24,0.774
2596,9,13,90,55,Tuesday,24,0.818
2597,10,11,50,28,Tuesday,24,0.893
2598,10,13,70,47,Tuesday,24,0.745
2599,11,12,50,26,Tuesday,24,0.962
2600,0,1,100,75,Wednesday,0,0.667
2601,0,2,100,65,Wednesday,0,0.769
2602,0,3,80,46,Wednesday,0,0.870
2603,1,2,90,71,Wednesday,0,0.634
2604,1,7,130,77,Wednesday,0,0.844
2605,2,5,50,39,Wednesday,0,0.641
2606,3,4,120,93,Wednesday,0,0.645
2607,3,10,110,87,Wednesday,0,0.632
2608,4,5,50,25,Wednesday,0,1.000
2609,4,6,100,64,Wednesday,0,0.781
2610,5,8,60,44,Wednesday,0,0.682
2611,5,12,140,111,Wednesday,0,0.631
2612,6,7,120,84,Wednesday,0,0.714
2613,7,9,120,86,Wednesday,0,0.698
2614,8,9,70,52,Wednesday,0,0.673
2615,9,11,90,53,Wednesday,0,0.849
2616,9,13,130,67,Wednesday,0,0.970
2617,10,11,70,51,Wednesday,0,0.686
2618,10,13,50,27,Wednesday,0,0.926
2619,11,12,60,42,Wednesday,0,0.714
2620,0,1,60,42,Wednesday,2,0.714
2621,0,2,130,78,Wednesday,2,0.833
2622,0,3,70,45,Wednesday,2,0.778
2623,1,2,130,90,Wednesday,2,0.722
2624,1,7,130,100,Wednesday,2,0.650
2625,2,5,100,73,Wednesday,2,0.685
2626,3,4,140,95,Wednesday,2,0.737
2627,3,10,100,66,Wednesday,2,0.758
2628,4,5,50,36,Wednesday,2,0.694
2629,4,6,90,48,Wednesday,2,0.938
2630,5,8,60,31,Wednesday,2,0.968
2631,5,12,120,90,Wednesday,2,0.667
2632,6,7,100,56,Wednesday,2,0.893
2633,7,9,90,56,Wednesday,2,0.804
2634,8,9,50,26,Wednesday,2,0.962
2635,9,11,130,84,Wednesday,2,0.774
2636,9,13,120,92,Wednesday,2,0.652
2637,10,11,90,58,Wednesday,2,0.776
2638,10,13,70,38,Wednesday,2,0.921
2639,11,12,100,64,Wednesday,2,0.781
2640,0,1,50,38,Wednesday,4,0.658
2641,0,2,50,28,Wednesday,4,0.893
2642,0,3,80,41,Wednesday,4,0.976
2643,1,2,70,40,Wednesday,4,0.875
2644,1,7,140,78,Wednesday,4,0.897
2645,2,5,50,39,Wednesday,4,0.641
2646,3,4,50,26,Wednesday,4,0.962
2647,3,10,140,77,Wednesday,4,0.909
2648,4,5,120,61,Wednesday,4,0.984
2649,4,6,100,65,Wednesday,4,0.769
2650,5,8,90,67,Wednesday,4,0.672
2651,5,12,80,52,Wednesday,4,0.769
2652,6,7,70,40,Wednesday,4,0.875
2653,7,9,90,46,Wednesday,4,0.978
2654,8,9,70,36,Wednesday,4,0.972
2655,9,11,110,87,Wednesday,4,0.632
2656,9,13,60,43,Wednesday,4,0.698
2657,10,11,90,62,Wednesday,4,0.726
2658,10,13,130,72,Wednesday,4,0.903
2659,11,12,70,52,Wednesday,4,0.673
2660,0,1,120,62,Wednesday,6,0.968
2661,0,2,120,61,Wednesday,6,0.984
2662,0,3,120,77,Wednesday,6,0.779
2663,1,2,130,103,Wednesday,6,0.631
2664,1,7,100,60,Wednesday,6,0.833
2665,2,5,100,54,Wednesday,6,0.926
2666,3,4,130,82,Wednesday,6,0.793
2667,3,10,120,81,Wednesday,6,0.741
2668,4,5,100,59,Wednesday,6,0.847
2669,4,6,110,67,Wednesday,6,0.821
2670,5,8,140,71,Wednesday,6,0.986
2671,5,12,80,42,Wednesday,6,0.952
2672,6,7,130,69,Wednesday,6,0.942
2673,7,9,70,47,Wednesday,6,0.745
2674,8,9,50,25,Wednesday,6,1.000
2675,9,11,130,66,Wednesday,6,0.985
2676,9,13,90,54,Wednesday,6,0.833
2677,10,11,50,39,Wednesday,6,0.641
2678,10,13,80,59,Wednesday,6,0.678
2679,11,12,70,37,Wednesday,6,0.946
2680,0,1,140,102,Wednesday,8,0.686
2681,0,2,70,45,Wednesday,8,0.778
2682,0,3,80,40,Wednesday,8,1.000
2683,1,2,50,35,Wednesday,8,0.714
2684,1,7,60,40,Wednesday,8,0.750
2685,2,5,70,48,Wednesday,8,0.729
2686,3,4,70,46,Wednesday,8,0.761
2687,3,10,60,39,Wednesday,8,0.769
2688,4,5,60,36,Wednesday,8,0.833
2689,4,6,70,42,Wednesday,8,0.833
2690,5,8,100,68,Wednesday,8,0.735
2691,5,12,90,50,Wednesday,8,0.900
2692,6,7,60,46,Wednesday,8,0.652
2693,7,9,60,37,Wednesday,8,0.811
2694,8,9,100,57,Wednesday,8,0.877
2695,9,11,50,28,Wednesday,8,0.893
2696,9,13,70,38,Wednesday,8,0.921
2697,10,11,110,56,Wednesday,8,0.982
2698,10,13,50,30,Wednesday,8,0.833
2699,11,12,60,43,Wednesday,8,0.698
2700,0,1,90,89,Wednesday,10,0.506
2701,0,2,100,82,Wednesday,10,0.610
2702,0,3,50,46,Wednesday,10,0.543
2703,1,2,60,54,Wednesday,10,0.556
2704,1,7,130,105,Wednesday,10,0.619
2705,2,5,130,125,Wednesday,10,0.520
2706,3,4,50,48,Wednesday,10,0.521
2707,3,10,70,68,Wednesday,10,0.515
2708,4,5,120,86,Wednesday,10,0.698
2709,4,6,60,42,Wednesday,10,0.714
2710,5,8,50,48,Wednesday,10,0.521
2711,5,12,130,94,Wednesday,10,0.691
2712,6,7,140,133,Wednesday,10,0.526
2713,7,9,60,42,Wednesday,10,0.714
2714,8,9,110,85,Wednesday,10,0.647
2715,9,11,140,118,Wednesday,10,0.593
2716,9,13,90,88,Wednesday,10,0.511
2717,10,11,80,62,Wednesday,10,0.645
2718,10,13,120,117,Wednesday,10,0.513
2719,11,12,60,43,Wednesday,10,0.698
2720,0,1,80,79,Wednesday,12,0.506
2721,0,2,70,63,Wednesday,12,0.556
2722,0,3,130,114,Wednesday,12,0.570
2723,1,2,110,86,Wednesday,12,0.640
2724,1,7,70,49,Wednesday,12,0.714
2725,2,5,110,80,Wednesday,12,0.688
2726,3,4,120,95,Wednesday,12,0.632
2727,3,10,100,76,Wednesday,12,0.658
2728,4,5,70,50,Wednesday,12,0.700
2729,4,6,70,65,Wednesday,12,0.538
2730,5,8,120,109,Wednesday,12,0.550
2731,5,12,110,85,Wednesday,12,0.647
2732,6,7,140,128,Wednesday,12,0.547
2733,7,9,80,79,Wednesday,12,0.506
2734,8,9,90,63,Wednesday,12,0.714
2735,9,11,120,113,Wednesday,12,0.531
2736,9,13,100,76,Wednesday,12,0.658
2737,10,11,130,101,Wednesday,12,0.644
2738,10,13,70,61,Wednesday,12,0.574
2739,11,12,90,73,Wednesday,12,0.616
2740,0,1,100,94,Wednesday,14,0.532
2741,0,2,120,114,Wednesday,14,0.526
2742,0,3,60,55,Wednesday,14,0.545
2743,1,2,50,39,Wednesday,14,0.641
2744,1,7,130,107,Wednesday,14,0.607
2745,2,5,90,65,Wednesday,14,0.692
2746,3,4,90,67,Wednesday,14,0.672
2747,3,10,130,128,Wednesday,14,0.508
2748,4,5,80,76,Wednesday,14,0.526
2749,4,6,130,120,Wednesday,14,0.542
2750,5,8,80,72,Wednesday,14,0.556
2751,5,12,120,88,Wednesday,14,0.682
2752,6,7,80,79,Wednesday,14,0.506
2753,7,9,80,63,Wednesday,14,0.635
2754,8,9,70,58,Wednesday,14,0.603
2755,9,11,80,65,Wednesday,14,0.615
2756,9,13,120,104,Wednesday,14,0.577
2757,10,11,70,58,Wednesday,14,0.603
2758,10,13,60,59,Wednesday,14,0.508
2759,11,12,70,49,Wednesday,14,0.714
2760,0,1,60,52,Wednesday,16,0.577
2761,0,2,80,74,Wednesday,16,0.541
2762,0,3,90,74,Wednesday,16,0.608
2763,1,2,60,48,Wednesday,16,0.625
2764,1,7,130,127,Wednesday,16,0.512
2765,2,5,80,68,Wednesday,16,0.588
2766,3,4,90,89,Wednesday,16,0.506
2767,3,10,110,92,Wednesday,16,0.598
2768,4,5,110,77,Wednesday,16,0.714
2769,4,6,140,102,Wednesday,16,0.686
2770,5,8,110,83,Wednesday,16,0.663
2771,5,12,120,116,Wednesday,16,0.517
